Scene ID,Scene Start,Scene End,Valence,Arousal,Dominance,Audio Energy,Spectral Centroid,mfcc1,mfcc2,mfcc3,mfcc4
sc287,6552,6558,7.18,4.235,6.18,0.141502723561379,2055.96242393537,-70.2224513230902,110.046295065472,-29.4993147014214,41.2403111023009
sc288,6554,6560,5.28692307692308,4.44384615384615,5.57230769230769,0.122358102534447,2137.23562862486,-87.2551163438471,103.474423552375,-35.2712489791011,42.031691483952
sc289,6557,6563,5.603,5.203,5.202,0.113803635243127,2268.69556937728,-90.2318508303232,101.058300726538,-54.0883115550965,46.05527400986
sc290,6559,6565,5.61142857142857,4.43142857142857,5.11285714285714,0.245633938404491,2130.46868680776,-34.789890494929,110.302084445846,-50.9835411973606,45.4394992974081
sc291,6562,6568,5.63375,4.34125,5.35375,0.263330815257875,1687.00447099791,-48.2937082809497,139.709910867381,-37.118548788464,39.7644596930569
sc292,6564,6570,5.30333333333333,4.25111111111111,5.19222222222222,0.19249017952347,1587.2416168869,-94.0711089657728,145.025749162755,-31.0082025561946,37.339061357365
sc293,6567,6573,4.93777777777778,4.47666666666667,5.10555555555556,0.129575517929343,1780.2192988918,-116.495736902978,128.348689671996,-16.0174810984901,36.8173585513299
sc294,6569,6575,5.275,3.89166666666667,5.70666666666667,0.140659233918612,1752.18607074018,-125.71096169962,137.117282698212,-29.8752176545185,27.0011309399856
sc296,6574,6580,5.48071428571429,4.14428571428571,5.19571428571428,0.155251930145378,1718.65501385283,-128.728993271784,158.278997469287,-85.4735607938618,23.5771398039459
sc297,6577,6583,5.17909090909091,4.66181818181818,5.23909090909091,0.086100299669377,1915.64941431545,-171.588853173181,129.527644365198,-56.6164321303986,28.0075847229028
sc298,6579,6585,5.55727272727273,4.51363636363636,5.62090909090909,0.130003653525414,1790.57032507882,-150.621865678574,133.050491883728,-42.2216589534397,29.0173630797677
sc299,6582,6588,5.04555555555556,4.14777777777778,5.08111111111111,0.265364848707124,1572.9253537623,-55.7069024720226,148.231160388002,-38.0664987628657,36.9573459477126
sc300,6584,6590,4.776,4.704,5.066,0.339777498997267,1517.1102551309,4.26928810980164,158.620313923311,-52.0259395810859,32.956706019672
sc301,6587,6593,6.1925,4.33,6.075,0.172005022681915,1860.81846504179,-77.7383172578638,124.352014541527,-20.0717617142117,20.6164915588535
sc302,6589,6595,5.6052380952381,4.25666666666667,5.70047619047619,0.142835143936569,1822.21683675201,-107.870204502463,121.950410880158,-10.8718755722097,16.5148260381406
sc303,6592,6598,5.63,4.228,5.348,0.145019061037301,1837.95132294194,-104.188769308375,120.354877976399,-12.6541946253471,25.4644874989191
sc304,6594,6600,6.077,4.46,6.066,0.273935827967535,1763.50877788326,-41.3765497430708,129.137555331057,-24.4863714116638,37.598548688833
sc305,6597,6603,5.51045454545455,4.26,5.48636363636364,0.301236119786043,1758.26198398748,-40.3597853606266,129.232818580276,-24.3974864408977,35.7942949658984
sc306,6599,6605,5.49,4.35666666666667,5.37166666666667,0.200092906095865,1644.76225376694,-117.129390165633,140.279568106383,-45.3693590558957,17.7187548387678
sc307,6602,6608,5.63,3.27,5.1,0.085911319097262,1625.99502562195,-219.055297932782,150.058141576599,-83.1677734647501,-14.1914287636537
sc308,6604,6610,5.41727272727273,4.01909090909091,5.22727272727273,0.145290737367858,1647.25728263489,-172.159999216682,149.438638798956,-84.9306177517352,-0.824753056303699
sc309,6607,6613,5.24857142857143,4.45857142857143,5.48285714285714,0.211200085660151,2190.09055188308,-54.0757467257279,108.980624149574,-35.1794086779903,30.5519916890762
sc310,6609,6615,5.26666666666667,4.37166666666667,5.15333333333333,0.190885837118066,2147.57662300667,-57.7573040754444,106.14852845072,-18.5578308169795,34.9139125099187
sc311,6612,6618,5.82,4.41571428571429,5.83428571428571,0.085723210517299,1953.01007979911,-120.468618110511,111.59938850721,-9.95722862543796,34.7525841094791
sc312,6614,6620,6.2425,4.7575,5.505,0.091468180791363,1741.37432352836,-116.946353180761,123.069780744211,-17.8032434182498,35.5273587930133
sc313,6617,6623,6.162,4.29,5.27,0.102397701715395,1716.84012884515,-128.052414481023,120.681455869578,0.502801593685726,40.4633986545844
sc314,6619,6625,6.14,4.055,5.55,0.133131793348199,1707.03167408545,-119.590482542605,120.512859872188,9.69796778299678,41.034132163417
sc315,6622,6628,5.242,3.78,5.004,0.160718773380023,1706.78128324059,-118.641334474627,120.572431805143,7.0114772190804,38.5539125739805
sc316,6624,6630,6.05,5.21333333333333,5.99333333333333,0.115669752565687,1885.27320529773,-139.818781002057,115.271465360963,-8.60353529748801,31.7542527880879
