"Scene Start","Scene End","Valence","Arousal","Dominance","Vader neg","Vader neu","Vader pos","Vader compound","Audio Level"
"4141.0","4360.0","5.592943722943722","4.072121212121212","5.376796536796537","0.06","0.811","0.129","0.9965","silent"
"4365.0","4430.0","5.416195652173912","3.9894565217391293","5.469782608695653","0.046","0.902","0.052","0.6153","silent"
"4495.0","4820.0","5.331420118343195","4.102248520710059","5.459585798816568","0.097","0.82","0.083","-0.5653","silent"
"4824.0","4957.0","5.506887417218543","4.239933774834436","5.4394701986754965","0.064","0.845","0.091","0.8968","silent"
"5100.0","5236.0","5.435277777777778","4.146319444444444","5.4309722222222225","0.08","0.816","0.104","0.9195","silent"
"5238.0","5274.0","5.478684210526317","4.215921052631579","5.426973684210526","0.096","0.847","0.057","-0.8242","silent"
"5280.0","5298.0","5.354736842105263","3.8952631578947363","5.2494736842105265","0.032","0.927","0.04","0.3818","medium"
"5310.0","5580.0","5.338874172185431","4.10158940397351","5.311523178807948","0.092","0.825","0.083","-0.8479","silent"
"5585.0","5598.0","5.555789473684209","4.0668421052631585","5.336842105263158","0.0","0.875","0.125","0.7506","silent"
"5600.0","5673.0","5.324719999999999","4.065359999999999","5.37392","0.097","0.842","0.062","-0.9659","silent"
"5675.0","5810.0","5.207401574803149","4.183307086614174","5.347086614173229","0.128","0.783","0.089","-0.9757","silent"
"5983.0","6010.0","4.539615384615385","4.293846153846154","4.954999999999999","0.08","0.893","0.027","-0.5994","medium"
"6033.0","6093.0","5.336944444444445","3.981944444444445","5.497499999999999","0.096","0.807","0.097","-0.2023","silent"
"6148.0","6210.0","5.440526315789472","4.304736842105264","5.186052631578948","0.07","0.819","0.111","0.7805","medium"
"6390.0","6770.0","5.1704390243902445","4.334341463414634","5.264414634146341","0.08","0.869","0.051","-0.9917","medium"
"6780.0","6810.0","5.49578947368421","4.1078947368421055","5.418157894736844","0.09","0.85","0.059","-0.533","silent"
"6811.0","6840.0","6.167692307692307","4.096153846153846","5.6657692307692304","0.014","0.869","0.117","0.8762","silent"
