"Scene Start","Scene End","Valence","Arousal","Dominance","Vader neg","Vader neu","Vader pos","Vader compound","Audio Level"
"1021.0","1291.0","5.616143497757848","3.925695067264573","5.518609865470853","0.081","0.819","0.1","0.9072","silent"
"1292.0","1355.0","5.755918367346939","3.879795918367347","5.522244897959184","0.113","0.823","0.064","-0.8982","silent"
"1440.0","1500.0","5.273214285714286","4.184464285714285","5.343392857142858","0.093","0.863","0.044","-0.973","silent"
"1525.0","1540.0","6.057727272727272","3.619090909090909","5.755454545454546","0.036","0.86","0.104","0.6369","silent"
"1541.0","1944.0","5.724910485933504","4.058005115089514","5.574066496163683","0.072","0.846","0.082","-0.7736","silent"
"1945.0","2071.0","5.467678571428571","3.9629166666666666","5.3983333333333325","0.067","0.83","0.103","0.9779","medium"
"2072.0","2102.0","4.215263157894737","4.012105263157895","4.932631578947369","0.125","0.875","0.0","-0.8519","loud"
"2103.0","2198.0","5.70875","3.896607142857143","5.631785714285714","0.086","0.851","0.063","-0.5905","silent"
"2199.0","2270.0","5.757948717948718","3.8971794871794874","5.864871794871795","0.025","0.87","0.105","0.8985","silent"
"2271.0","2280.0","5.973571428571428","3.957857142857143","5.585714285714286","0.0","0.872","0.128","0.6124","silent"
"2281.0","2364.0","5.54566265060241","3.9098795180722887","5.508313253012048","0.033","0.914","0.053","0.6801","silent"
"2365.0","2635.0","5.77327731092437","4.102226890756302","5.518865546218487","0.069","0.874","0.057","-0.9521","silent"
"2636.0","2662.0","5.6091304347826085","4.025217391304348","5.499130434782609","0.093","0.828","0.079","0.4153","silent"
"2663.0","2794.0","5.713116883116883","4.054805194805197","5.507142857142857","0.099","0.823","0.079","-0.8406","silent"
"2800.0","2871.0","6.038775510204081","4.068979591836734","5.777346938775511","0.022","0.87","0.108","0.9009","silent"
"2872.0","2920.0","5.350200000000001","4.138","5.424200000000001","0.179","0.689","0.132","-0.8718","silent"
"2921.0","2952.0","5.606896551724137","3.861724137931034","5.485517241379311","0.094","0.835","0.071","-0.6808","silent"
"2953.0","3010.0","5.4236","4.5388","5.4408","0.222","0.751","0.027","-0.9531","silent"
"3011.0","3140.0","5.663243243243243","4.1324324324324335","5.671621621621622","0.071","0.853","0.076","0.212","medium"
"3028.0","3032.0","5.796666666666666","3.3888888888888893","5.694444444444445","0.083","0.917","0.0","-0.4199","medium"
"3141.0","3150.0","5.450909090909092","4.4790909090909095","5.294545454545454","0.127","0.817","0.057","-0.4738","silent"
"3185.0","3197.0","5.41625","4.425","5.491875","0.122","0.784","0.094","-0.34","medium"
"3198.0","3200.0","6.23","3.5","6.455","0.0","1.0","0.0","0.0","silent"
"3201.0","3255.0","5.727627118644067","4.142542372881357","5.609830508474577","0.123","0.718","0.159","0.743","silent"
"3259.0","3267.0","6.27375","3.83125","5.785","0.101","0.899","0.0","-0.5267","silent"
"3268.0","3295.0","5.630999999999999","3.8166666666666655","5.3389999999999995","0.049","0.773","0.178","0.9562","silent"
"3296.0","3335.0","5.241428571428573","4.557142857142857","5.294761904761906","0.105","0.8","0.095","-0.4291","silent"
"3336.0","3365.0","6.0600000000000005","3.78625","5.819375","0.025","0.941","0.035","0.2023","silent"
"3669.0","3820.0","5.862985074626866","4.034925373134329","5.61134328358209","0.103","0.826","0.07","-0.8608","silent"
"3821.0","3915.0","6.115263157894737","4.142280701754387","5.851929824561404","0.04","0.814","0.146","0.9909","silent"
"3924.0","4024.0","5.417959183673468","4.131836734693878","5.253061224489795","0.05","0.839","0.111","0.9399","silent"
"4040.0","4066.0","5.6848","3.6971999999999996","5.421600000000001","0.025","0.975","0.0","-0.2023","medium"
"4135.0","4158.0","5.336500000000001","3.7585","5.3950000000000005","0.086","0.803","0.111","0.3313","silent"
"4260.0","4352.0","5.94076923076923","3.9832692307692312","5.619615384615385","0.058","0.858","0.084","0.7212","silent"
