Scene ID,Scene Start,Scene End,Valence,Arousal,Dominance,Vader neg,Vader neu,Vader pos,Vader compound,Audio Energy,Spectral Centroid,mfcc1,mfcc2,mfcc3,mfcc4
sc68,2181,2200,5.25769230769231,4.40384615384615,5.45153846153846,0.111,0.841,0.047,-0.4898,0.138459494475748,1630.19958670836,-141.305737063832,126.527913034089,-14.2042688057456,32.5261409578869
sc69,2201,2205,5.2225,4.1925,5.65,0,1,0,0,0.216630637209242,2306.67822648257,-8.67239038556576,99.7456447719742,-21.5750654169292,19.7779255792517
sc74,2220,2235,5.239,4.261,5.337,0.049,0.861,0.09,0.453,0.141754911848176,1960.75611771304,-75.99654049281,117.447210766007,-20.689474421092,20.5057487957235
sc75,2236,2305,5.21262295081967,4.35262295081967,5.20885245901639,0.049,0.873,0.079,0.8741,0.102701635184962,2272.92336936092,-155.091237661886,94.5452978733203,1.37175409475173,23.178314840163
sc76,2306,2320,5.23357142857143,4.43428571428571,5.50285714285714,0,0.911,0.089,0.6199,0.037815973370522,1748.00602587796,-255.537705750884,125.926734225329,-13.219350013481,17.0312094882972
sc78,2321,2323,5.435,4.24,5.32,0,1,0,0,0.047787320090505,1708.9739780463,-240.947535341424,132.228812162576,-16.4770735673858,-1.15804280311329
sc79,2324,2348,5.32631578947368,3.86263157894737,5.29631578947368,0.208,0.699,0.093,-0.7476,0.072610713059099,1544.92296775944,-290.231183260858,97.0495400394664,9.56120497301142,34.2329798774986
sc80,2349,2442,5.60229166666667,3.84395833333333,5.48979166666667,0.061,0.784,0.156,0.9545,0.016323482119568,1893.31806869777,-315.177501915522,124.369802960124,-11.2155477479619,10.0338547473181
sc85,2443,2460,6.13105263157895,4.17263157894737,5.62631578947368,0,0.757,0.243,0.9337,0.049981908088739,2142.38462847902,-164.320207119978,101.492808605766,-19.5067638372879,19.697739370099
sc86,2461,2470,5.22233333333333,3.95666666666667,5.243,0.04,0.96,0,-0.516,0.047042838057512,1754.03998326662,-222.824025598926,119.288585005299,-11.3581874886434,36.6875569515431
sc87,2471,2493,5.70913043478261,3.8295652173913,5.29217391304348,0.026,0.925,0.049,0.6184,0.03484371467288,1948.5797542782,-248.918176153322,110.493862674386,-4.81589453344282,22.6321954836696
sc88,2494,2520,5.18757575757576,3.8,5.30030303030303,0.068,0.904,0.028,-0.4871,0.013666944284909,1719.5960727783,-349.797515599833,115.883176546258,-1.00727811969333,19.5428065537578
sc81,2525,2608,5.43333333333333,4.18333333333333,5.51833333333333,0.103,0.897,0,-0.1531,0.053797405171304,1566.2467331139,-264.681053166864,128.446653907944,-1.53125774722126,30.706538419946
sc83,2608,2809,5.32382550335571,4.07234899328859,5.32288590604027,0.081,0.827,0.092,0.5815,0.067862572740884,1970.90072951923,-220.338500454043,108.008605839648,7.92065029599803,22.9272318061077
sc89,2851,3024,5.48369565217391,4.11271739130435,5.44717391304348,0.072,0.826,0.102,0.9322,0.016082782043673,1768.2566952473,-330.257057281295,121.568328899262,5.929463923173,20.6326453174805
sc90,3028,3070,5.30634920634921,4.09253968253968,5.28333333333333,0.074,0.862,0.064,-0.6388,0.014374784323907,1777.51494808059,-374.060315399605,117.939796667075,14.6741577598746,27.2409458789474
sc91,3071,3111,5.48275,3.89575,5.38275,0.045,0.894,0.061,0.2297,0.016902740162321,1777.02571198577,-348.052778500314,117.62205581194,9.52961235467923,32.6303269676779
sc95,3140,3194,5.80625,4,5.49425,0.019,0.932,0.049,0.5859,0.019810014477842,1162.94741789998,-359.477665246945,155.053674986835,3.94928747390119,22.0883591024218
sc96,3195,3226,5.52323076923077,4.16846153846154,5.39738461538462,0.114,0.845,0.041,-0.8984,0.095935863152636,1874.09095723308,-139.527746421685,122.156870626559,-18.1399578028632,27.527745298017
sc99,3230,3239,5.064,3.914,5.64,0.087,0.913,0,-0.296,0.148078340830947,1558.0878279658,-71.5268127953001,134.046270021316,-8.73844964967389,21.1409719846222
sc101,3240,3248,5.65296296296296,3.82888888888889,5.38962962962963,0.099,0.804,0.097,-0.0516,0.013390286984833,2326.47725618097,-345.447835090451,94.9566549691292,-27.4004404254317,18.9052671846972
sc102,3249,3253,5.01666666666667,4.14166666666667,5.55166666666667,0.124,0.876,0,-0.34,0.309163776563527,2327.3296369181,-5.58246545648981,94.9397985396704,-6.25724655130582,33.6920934674158
sc103,3254,3262,5.798,4.134,5.618,0,0.904,0.096,0.2023,0.403882441713021,2143.88681782266,26.6511703514207,96.3201566210948,6.23962181558366,35.5163089820822
sc104,3263,3269,6.162,3.533,6.035,0,1,0,0,0.066537572266012,1707.17447207048,-179.097246583931,125.484765560577,7.17496858509274,22.9977385194917
sc105,3270,3318,5.58617647058824,3.96147058823529,5.51764705882353,0.046,0.936,0.018,-0.643,0.045319500173852,3102.83434044381,-253.464188794574,66.058694019667,-5.50631855343974,21.989579622411
sc92,3319,3380,5.74425531914894,3.85957446808511,5.55106382978724,0.038,0.845,0.118,0.9455,0.019407265528745,1885.54447771456,-347.556102298373,114.822748434689,2.18393877094119,21.9239714350458
sc106,3381,3396,4.82166666666667,3.69333333333333,5.445,0,1,0,0,0.03667105755994,1700.39645065891,-239.769691314412,120.429486194061,1.0058309405005,18.1292554323638
sc107,3397,3411,5.51166666666667,3.90888888888889,5.65055555555556,0.031,0.851,0.119,0.6486,0.017695090374963,1669.78548527967,-359.66500213019,128.263316796246,13.5026169823919,25.7769432731755
sc108,3412,3484,5.72613636363636,3.84204545454546,5.68545454545455,0.061,0.817,0.121,0.9024,0.014159039246263,1726.53071652403,-382.851084384521,117.471831604486,16.303760929274,29.591822535115
sc109,3485,3498,5.43666666666667,4.04266666666667,5.18733333333333,0,1,0,0,0.132847473857876,1375.78129877301,-133.628601421407,140.390063008132,-5.68968843316635,19.9517900912255
sc110,3505,3536,5.626875,3.72895833333333,5.543125,0.013,0.855,0.132,0.9605,0.063933633895635,1720.69405401442,-216.555462223219,119.730129691395,-1.38965893765496,30.0472096251739
sc111,3537,3545,5.45945945945946,3.94243243243243,5.28432432432432,0.052,0.813,0.135,0.8588,0.139595368732644,1169.14550138445,-223.099277393925,129.989506035553,23.344534649861,39.6300684695136
sc112,3546,3555,4.89,3.83142857142857,4.57,0.271,0.624,0.106,-0.7662,0.092654712502218,1388.74367969195,-211.445926582681,138.482249411767,7.66801462688875,26.1012535749921
sc113,3565,3581,5.64333333333333,4.00952380952381,5.59809523809524,0.05,0.898,0.052,0.0258,0.060246594276934,2232.23601164711,-212.679201484967,102.256048520012,23.3587407784733,27.0284537131878
sc115,3582,3590,4.96333333333333,4.30166666666667,4.88333333333333,0.212,0.788,0,-0.6249,0.057717934522013,1379.6452324986,-222.198023587502,132.444641363051,14.1956195359106,36.5937336948402
sc116,3591,3613,5.6544,3.9756,5.5872,0.072,0.817,0.111,0.3853,0.042923679814076,1538.02906497731,-267.818985208903,132.876284760731,6.10578019862043,29.1034013651819
sc117,3614,3654,5.515,3.83214285714286,5.29071428571429,0.081,0.839,0.081,0,0.115281082572979,571.224803324147,-287.573107847733,197.865561848392,15.6053491090284,25.8198547934123
sc118,3655,3684,5.50694444444444,4.27833333333333,5.39805555555556,0.095,0.824,0.081,0.4815,0.074946380551392,1858.7683365829,-226.820159539993,112.294995659402,10.6565287932853,29.9577156299474
sc119,3685,3690,5.08555555555556,4.34555555555556,4.95555555555556,0.094,0.906,0,-0.4019,0.067047915109623,1827.05518499214,-160.153871904938,114.638849065335,15.2704699379447,24.7033248767911
sc122,3693,3715,5.006,3.498,5.414,0.326,0.674,0,-0.6486,0.092006704488421,2001.82123604705,-120.989585521346,105.782000550181,6.85777966890918,29.5431325031276
sc120,3717,3793,5.40947368421053,3.91605263157895,5.48842105263158,0.108,0.876,0.016,-0.9551,0.184818435115696,1000.88103569745,-216.486704652982,158.316432808656,16.1765887340394,31.2347916212385
sc133,3795,3843,5.14086206896552,4.2551724137931,5.19655172413793,0.103,0.847,0.05,-0.9029,0.186067636361148,1583.18874864016,-142.450867201439,108.213817338054,-3.83028499560486,27.3858901793656
sc123,3855,3898,4.91142857142857,4.12666666666667,4.94095238095238,0.078,0.884,0.038,-0.5943,0.134003796288326,1382.40675712835,-193.882200418641,120.63096710991,8.48037900295426,28.0837303909166
