"Scene Start","Scene End","neg","neu","pos","compound","Audio Level"
"6457.0","6464.0","0.0","1.0","0.0","0.0","0.03508574374785567"
"6465.0","6530.0","0.144","0.85","0.006","-0.981","0.21717647457565964"
"6531.0","6689.0","0.065","0.888","0.047","-0.467","0.21683732055691698"
"6690.0","6692.0","0.0","1.0","0.0","0.0","0.03343102895394451"
"6693.0","6736.0","0.074","0.911","0.014","-0.5979","0.03867063732511623"
"6737.0","6745.0","0.118","0.751","0.131","-0.1111","0.021224521795261526"
"6746.0","6775.0","0.085","0.915","0.0","-0.6041","0.03413767339830318"
"6776.0","6800.0","0.097","0.874","0.028","-0.932","0.02079885925398019"
"6801.0","6804.0","0.151","0.849","0.0","-0.7508","0.033498657279022986"
"6805.0","6855.0","0.073","0.827","0.1","0.3527","0.1317563211573413"
"6857.0","6862.0","0.201","0.799","0.0","-0.7762","0.07836250994959841"
"6891.0","6986.0","0.127","0.813","0.059","-0.9408","0.13798372780081708"
"6987.0","6992.0","0.285","0.715","0.0","-0.7777","0.034163479091321024"
"7045.0","7055.0","0.086","0.879","0.035","-0.5719","0.03939445028019082"
"7060.0","7128.0","0.128","0.846","0.026","-0.9776","0.1348974793310803"
"7132.0","7155.0","0.113","0.887","0.0","-0.758","0.03033221217218893"
"7156.0","7162.0","0.147","0.757","0.096","-0.3151","0.015537902101528209"
"7163.0","7170.0","0.0","0.949","0.051","0.3182","0.03920403179941988"
"7171.0","7180.0","0.256","0.744","0.0","-0.5848","0.040566256150284224"
"7200.0","7214.0","0.092","0.908","0.0","-0.4824","0.10773822100485819"
"7348.0","7365.0","0.067","0.907","0.026","-0.4404","0.07687627842712041"
"7385.0","7405.0","0.193","0.807","0.0","-0.5106","0.06535668037696218"
"7406.0","7413.0","0.071","0.871","0.058","-0.1027","0.013029213731593948"
"7414.0","7426.0","0.115","0.71","0.176","0.1601","0.015859392718242896"
"7427.0","7475.0","0.065","0.935","0.0","-0.5267","0.07189559345605336"
"7490.0","7495.0","0.171","0.678","0.151","0.2714","0.061649074445650855"
"7496.0","7504.0","0.064","0.936","0.0","-0.4199","0.06709878599180025"
"7625.0","7640.0","0.2","0.727","0.073","-0.6588","0.2098126335386315"
"7641.0","7648.0","0.257","0.743","0.0","-0.7845","0.32594831580149386"
"7649.0","7764.0","0.069","0.876","0.055","-0.7217","0.03917704843970969"
