"Scene Start","Scene End","neg","neu","pos","compound","Audio Level"
"6250.0","6258.0","0.076","0.924","0.0","-0.5067","0.08069717189030877"
"6259.0","6273.0","0.232","0.731","0.037","-0.9245","0.0809255469741902"
"6274.0","6276.0","0.119","0.58","0.301","0.5574","0.03985802619858486"
"6277.0","6281.0","0.431","0.569","0.0","-0.8442","0.15317137558300642"
"6282.0","6313.0","0.053","0.825","0.122","0.6747","0.031482729252432985"
"6314.0","6355.0","0.121","0.836","0.044","-0.8516","0.028183727054085294"
"6371.0","6413.0","0.065","0.909","0.027","-0.8726","0.09187659042493933"
"6420.0","6564.0","0.086","0.839","0.076","-0.4843","0.1924381399111028"
"6565.0","6620.0","0.132","0.782","0.086","-0.6859","0.02740398201080149"
"6624.0","6810.0","0.086","0.81","0.104","0.8985","0.047026480516627445"
"6820.0","6830.0","0.138","0.862","0.0","-0.34","0.07009762113375845"
"6833.0","6895.0","0.12","0.746","0.134","-0.4021","0.10689664385275251"
"6895.0","6898.0","0.125","0.875","0.0","-0.25","0.12140272159650739"
"6906.0","6925.0","0.0","0.741","0.259","0.6808","0.2356997653879196"
"6957.0","7050.0","0.097","0.828","0.074","-0.77","0.11185757743318904"
"7054.0","7119.0","0.144","0.752","0.104","-0.8641","0.07446918294349504"
"7120.0","7177.0","0.086","0.8","0.114","0.2168","0.04789117913025106"
"7178.0","7260.0","0.103","0.876","0.021","-0.9734","0.18913510301186065"
"7265.0","7275.0","0.148","0.817","0.035","-0.7767","0.1764100568451922"
"7293.0","7445.0","0.107","0.716","0.176","0.9287","0.02154436128086129"
