"Scene Start","Scene End","neg","neu","pos","compound","Audio Level"
"4586.0","4685.0","0.079","0.845","0.076","-0.8407","0.01615624389419727"
"4686.0","4800.0","0.106","0.83","0.064","-0.9049","0.017879354157489428"
"4801.0","4825.0","0.035","0.965","0.0","-0.2263","0.11012443560061445"
"4830.0","4845.0","0.106","0.86","0.034","-0.5953","0.07871279121430019"
"4846.0","4880.0","0.172","0.73","0.098","-0.7728","0.0685090589722825"
"4890.0","4925.0","0.193","0.776","0.031","-0.8871","0.029075896629394336"
"4951.0","4970.0","0.122","0.834","0.044","-0.9239","0.04545173982729403"
"5010.0","5036.0","0.1","0.9","0.0","-0.8603","0.026353003283027643"
"5055.0","5070.0","0.355","0.645","0.0","-0.9124","0.022538630473238962"
"5100.0","5156.0","0.083","0.868","0.049","-0.6597","0.1000373248383408"
"5165.0","5245.0","0.098","0.848","0.054","-0.942","0.03308599585987421"
"5246.0","5258.0","0.029","0.79","0.182","0.9102","0.17283648729578652"
"5259.0","5303.0","0.186","0.785","0.029","-0.9929","0.05623513882785454"
"5304.0","5319.0","0.213","0.699","0.088","-0.9552","0.04970601477483796"
"5320.0","5389.0","0.149","0.788","0.064","-0.9817","0.04164874097511482"
"5390.0","5730.0","0.111","0.825","0.064","-0.9917","0.03781833050705606"
"5731.0","5805.0","0.164","0.788","0.047","-0.9615","0.0232254153812567"
"5806.0","5873.0","0.259","0.699","0.043","-0.9971","0.027998298331474606"
"5874.0","5985.0","0.158","0.796","0.046","-0.9779","0.05413643214313357"
"5986.0","6010.0","0.164","0.776","0.061","-0.9716","0.10156192972472687"
"6026.0","6090.0","0.136","0.739","0.125","-0.8465","0.01663724820410167"
