"Scene Start","Scene End","neg","neu","pos","compound","Audio Level"
"2229.0","2268.0","0.13","0.829","0.041","-0.9687","0.02438430490566849"
"2270.0","2295.0","0.085","0.892","0.023","-0.908","0.022188898130801774"
"2296.0","2302.0","0.091","0.909","0.0","-0.296","0.09139989575871321"
"2305.0","2350.0","0.073","0.898","0.029","-0.7178","0.008540336911848568"
"2355.0","2400.0","0.114","0.886","0.0","-0.7236","0.009559985649246353"
"2411.0","2435.0","0.073","0.911","0.016","-0.7351","0.05773103306164682"
"2436.0","2445.0","0.135","0.838","0.027","-0.7003","0.0720340080132611"
"2446.0","2460.0","0.033","0.904","0.063","0.3612","0.018367904002476572"
"2461.0","2464.0","0.182","0.804","0.014","-0.9567","0.11501512218912993"
"2465.0","2470.0","0.154","0.846","0.0","-0.4767","0.11572476475724351"
"2471.0","2475.0","0.066","0.862","0.072","0.09","0.06435453460982929"
"2476.0","2478.0","0.0","1.0","0.0","0.0","0.15380904882385527"
"2479.0","2490.0","0.132","0.789","0.079","-0.2732","0.07369781697606172"
"2491.0","2520.0","0.113","0.82","0.068","-0.3941","0.11698391437717107"
"2521.0","2525.0","0.167","0.74","0.093","-0.4881","0.1973294877572222"
"2526.0","2536.0","0.147","0.853","0.0","-0.6369","0.10841905180424316"
"2537.0","2580.0","0.172","0.818","0.01","-0.9545","0.02570028900982981"
"2587.0","2605.0","0.075","0.891","0.034","-0.3818","0.029985026781629488"
"2615.0","2634.0","0.254","0.746","0.0","-0.9179","0.012333290456703798"
"2635.0","2793.0","0.113","0.853","0.033","-0.9762","0.04602110810269903"
"2793.0","2830.0","0.077","0.811","0.112","0.5672","0.06332904488485598"
"2831.0","2858.0","0.172","0.713","0.115","-0.799","0.18196709075265577"
"2859.0","2862.0","0.201","0.625","0.174","-0.1027","0.20577685529481976"
"2863.0","2910.0","0.246","0.731","0.023","-0.9722","0.3811245175184572"
"2911.0","3038.0","0.129","0.832","0.039","-0.9922","0.020522281002961877"
"3039.0","3055.0","0.04","0.896","0.064","0.079","0.013438686973228866"
"3056.0","3200.0","0.068","0.82","0.113","0.9404","0.00909610327489252"
"3255.0","3412.0","0.062","0.903","0.035","-0.9405","0.013870838152808271"
"3413.0","3455.0","0.03","0.911","0.059","0.4767","0.009770699335226039"
"3456.0","3558.0","0.129","0.812","0.059","-0.9904","0.05509025548697948"
"3559.0","3697.0","0.059","0.913","0.028","-0.9714","0.017649910374941766"
"3698.0","3760.0","0.074","0.894","0.032","-0.931","0.09076885734794626"
"3790.0","4005.0","0.125","0.84","0.036","-0.9945","0.03803317151075195"
"4006.0","4089.0","0.117","0.828","0.056","-0.981","0.10069398182016427"
"4090.0","4126.0","0.318","0.682","0.0","-0.7901","0.050087984678255926"
"4128.0","4305.0","0.071","0.855","0.074","-0.38","0.02006373656504166"
"4318.0","4335.0","0.095","0.905","0.0","-0.4215","0.04225168944344685"
"4339.0","4358.0","0.198","0.679","0.123","-0.4404","0.012575454375359299"
"4359.0","4365.0","0.039","0.961","0.0","-0.1531","0.0131101922649393"
"4381.0","4420.0","0.134","0.866","0.0","-0.6369","0.021755072795556146"
"4421.0","4450.0","0.272","0.684","0.044","-0.9759","0.23055684627772677"
"4451.0","4464.0","0.081","0.919","0.0","-0.296","0.013948546037029148"
"4465.0","4535.0","0.056","0.873","0.071","0.4282","0.10758689901071058"
"4536.0","4600.0","0.136","0.845","0.019","-0.9914","0.1176279985094453"
"4600.0","4615.0","0.25","0.697","0.053","-0.8531","0.1560962174510878"
"4616.0","4640.0","0.085","0.865","0.051","-0.4019","0.11710834215889268"
"4641.0","4660.0","0.045","0.955","0.0","-0.3612","0.2522310019336115"
"4661.0","4676.0","0.046","0.926","0.028","-0.296","0.3170693470871798"
"4677.0","4755.0","0.204","0.724","0.072","-0.9894","0.10693584624529394"
"4756.0","4765.0","0.074","0.926","0.0","-0.1531","0.18241423483362673"
"4788.0","4855.0","0.139","0.784","0.077","-0.8449","0.08464214923256322"
"4905.0","4965.0","0.068","0.91","0.022","-0.9175","0.0994114645521928"
"4966.0","4975.0","0.048","0.799","0.154","0.8038","0.09440570065782974"
"4990.0","5055.0","0.052","0.882","0.066","0.4404","0.05611161858750263"
"5073.0","5108.0","0.07","0.799","0.131","0.3612","0.0582349730786024"
"5109.0","5145.0","0.083","0.823","0.093","0.1697","0.07567345103474857"
"5146.0","5166.0","0.077","0.838","0.085","0.2342","0.07731547591447865"
"5190.0","5227.0","0.057","0.924","0.018","-0.5719","0.09263631668821304"
"5224.0","5240.0","0.143","0.857","0.0","-0.9068","0.06079653885550425"
"5247.0","5255.0","0.225","0.775","0.0","-0.7717","0.10285150379403435"
"5315.0","5367.0","0.106","0.871","0.023","-0.91","0.3073560208229364"
"5425.0","5450.0","0.128","0.835","0.037","-0.7672","0.027007197315147422"
"5494.0","5508.0","0.356","0.644","0.0","-0.9758","0.219422489289575"
"5614.0","5634.0","0.0","1.0","0.0","0.0","0.026848986276516114"
"5970.0","6045.0","0.126","0.823","0.051","-0.9606","0.08486156198556678"
"6058.0","6084.0","0.141","0.751","0.108","-0.727","0.2791457362923902"
"6085.0","6140.0","0.124","0.828","0.048","-0.8989","0.0385602608302352"
"6141.0","6155.0","0.031","0.896","0.073","0.4588","0.04921202384543149"
"6156.0","6172.0","0.0","1.0","0.0","0.0","0.13750148947606333"
