"Scene Start","Scene End","Valence","Arousal","Dominance","Vader neg","Vader neu","Vader pos","Vader compound","Audio Level"
"681.0","775.0","5.332676056338029","3.9632394366197183","5.097042253521128","0.092","0.883","0.025","-0.8815","0.038397042798794905"
"776.0","836.0","5.620666666666667","4.028666666666667","5.430999999999999","0.036","0.868","0.096","0.552","0.09386682440413954"
"840.0","885.0","5.020500000000001","3.7625","5.297499999999999","0.056","0.944","0.0","-0.5719","0.07623912301804091"
"887.0","900.0","5.3752941176470594","3.3952941176470586","5.388823529411764","0.072","0.885","0.043","-0.4168","0.10892358705598236"
"901.0","909.0","5.741666666666666","4.0183333333333335","5.193333333333333","0.0","0.813","0.187","0.5994","0.20055550909735229"
"910.0","940.0","5.431578947368422","3.9731578947368424","5.265263157894736","0.0","1.0","0.0","0.0","0.09874361478247091"
"941.0","950.0","6.336666666666666","3.4433333333333334","5.54","0.0","0.631","0.369","0.6249","0.1787506560493406"
"941.0","991.0","5.220588235294117","4.165588235294117","5.414411764705882","0.119","0.83","0.051","-0.854","0.1391918833579251"
"993.0","1177.0","5.548082901554405","3.917512953367875","5.443626943005181","0.055","0.867","0.077","0.8775","0.08032794120563318"
"1180.0","1412.0","5.737147540983607","4.03783606557377","5.610622950819672","0.071","0.769","0.161","0.9988","0.07035718527538812"
"1413.0","1532.0","5.851297709923664","3.897862595419847","5.606946564885496","0.054","0.863","0.083","0.8908","0.04680067053723307"
"1533.0","1568.0","5.30125","3.7700000000000005","5.22875","0.231","0.769","0.0","-0.7579","0.21914566089214657"
"1570.0","1594.0","5.343333333333334","3.9595833333333332","5.245416666666667","0.084","0.849","0.067","-0.2035","0.06279996710225628"
"1595.0","1630.0","5.601333333333333","3.956444444444444","5.320666666666668","0.101","0.849","0.051","-0.8226","0.07568967993050005"
"1634.0","1647.0","6.045454545454546","4.012727272727273","5.631818181818182","0.114","0.822","0.064","-0.4909","0.05495578580353787"
"1648.0","1664.0","5.8643478260869575","3.978695652173914","5.495217391304348","0.085","0.842","0.073","-0.2328","0.07955820383008744"
"1665.0","1673.0","5.227837837837837","3.993783783783784","5.517567567567568","0.082","0.774","0.143","0.801","0.14193151816905375"
"1674.0","1681.0","5.272105263157895","4.107368421052632","5.398157894736843","0.128","0.872","0.0","-0.9306","0.24921569750739"
"1682.0","1692.0","5.62875","4.3031250000000005","5.074999999999999","0.022","0.892","0.086","0.5267","0.37083402567001417"
"1693.0","1724.0","5.6000000000000005","4.155344827586207","5.496379310344828","0.097","0.864","0.039","-0.8929","0.11150628708209613"
"1750.0","1924.0","5.630952380952381","3.8989523809523807","5.366380952380951","0.067","0.882","0.052","-0.7588","0.09050356355526813"
"1925.0","1953.0","5.688510638297872","3.87","5.45127659574468","0.117","0.845","0.037","-0.9292","0.10837309396219351"
