Movie,Vader Compound,Vader Neg,Vader Pos,Vader Neu,Genre
dumb-and-dumber,0.9999,0.094,0.113,0.794,Adventure
dune,-0.9999,0.101,0.079,0.819,Adventure
e.t,-0.9965,0.071,0.067,0.862,Sci-Fi
eagle-eye,-1,0.107,0.081,0.812,Mystery
eastern-promises,-0.9999,0.102,0.082,0.816,Thriller
easy-a,1,0.111,0.15,0.739,Comedy
ed-wood,1,0.098,0.139,0.763,Comedy
eight-legged-freaks,-1,0.092,0.057,0.851,Horror
el-mariachi,-0.9505,0.083,0.084,0.833,Action
election,1,0.079,0.145,0.776,Comedy
elizabeth-the-golden-age,1,0.1,0.135,0.764,Drama
enough,1,0.095,0.121,0.784,Thriller
entrapment,1,0.077,0.112,0.81,Crime
erin-brockovic,0.9999,0.096,0.113,0.791,Drama
escape-from-l.a,-0.9999,0.099,0.078,0.823,Action
escape-from-new-york,-0.9997,0.112,0.093,0.795,Adventure
eternal-sunshine-of-the-spotless-mind,1,0.105,0.128,0.767,Romance
even-cowgirls-get-the-blues,0.9999,0.093,0.114,0.793,Romance
event-horizon,-0.9999,0.1,0.077,0.823,Horror
evil-dead-ii-dead-by-dawn,-1,0.127,0.067,0.806,Action
ex-machina,0.9999,0.075,0.094,0.831,Mystery
excalibur,-0.9854,0.119,0.114,0.766,Drama
existenz,0.9999,0.1,0.121,0.779,Sci-Fi
extract,0.9998,0.101,0.121,0.779,Romance
face-off,-1,0.121,0.081,0.798,Action
fair-game,0.9131,0.092,0.093,0.815,Drama
fantastic-four,0.9999,0.096,0.109,0.796,Action
fantastic-mr-fox,0.9208,0.081,0.081,0.837,Family
fargo,0.9999,0.065,0.097,0.838,Thriller
fast-times-at-ridgemont-high,1,0.061,0.123,0.816,Drama
fatal-instinct,-0.9931,0.1,0.098,0.801,Thriller
fear-and-loathing-in-las-vegas,-1,0.145,0.097,0.758,Comedy
feast,0.9998,0.11,0.12,0.77,Horror
ferris-bueller's-day-off,0.9997,0.111,0.118,0.771,Comedy
field-of-dreams,1,0.071,0.12,0.809,Family
fight-club,-0.9984,0.095,0.094,0.812,Thriller
final-destination-2,-1,0.15,0.095,0.755,Horror
final-destination,-1,0.112,0.086,0.803,Thriller
five-easy-pieces,0.9999,0.075,0.101,0.824,Drama
flash-gordon,-0.9621,0.107,0.105,0.787,Fantasy
flight,0.9999,0.097,0.108,0.794,Drama
forrest-gump,1,0.075,0.104,0.82,Drama
four-rooms,0.9998,0.109,0.12,0.771,Drama
foxcatcher,1,0.059,0.121,0.82,Drama
fracture,-0.9999,0.122,0.101,0.777,Crime
frances,1,0.099,0.129,0.772,Drama
frankenweenie,0.9988,0.087,0.094,0.819,Comedy
freaked,0.9998,0.119,0.131,0.75,Sci-Fi
freddy-vs.-jason,-1,0.11,0.085,0.805,Thriller
friday-the-13th-part-viii-jason-takes-manhattan,-1,0.124,0.083,0.793,Horror
friday-the-13th,0.9998,0.079,0.097,0.824,Horror
fright-night-(1985),-1,0.13,0.08,0.79,Thriller
fright-night,-1,0.139,0.104,0.756,Horror
from-dusk-till-dawn,-0.9998,0.117,0.108,0.775,Comedy
from-here-to-eternity,1,0.091,0.105,0.804,War
frozen-(disney),1,0.092,0.147,0.761,Animation
frozen-river,-0.9998,0.074,0.059,0.867,Drama
frozen,-0.9999,0.127,0.111,0.762,Thriller
fruitvale-station,0.9999,0.078,0.105,0.817,Drama
funny-people,1,0.116,0.158,0.727,Comedy
g.i.-jane,-0.9996,0.095,0.089,0.816,Action
g.i.-joe-the-rise-of-cobra,-0.9998,0.103,0.095,0.802,Action
game-6,0.9999,0.088,0.113,0.799,Drama
gamer,-1,0.123,0.089,0.787,Sci-Fi
gandhi,0.9989,0.1,0.101,0.799,Drama
gang-related,-1,0.14,0.091,0.769,Crime
gangs-of-new-york,0.9995,0.105,0.113,0.782,Drama
garden-state,1,0.088,0.149,0.762,Drama
gattaca,-0.9997,0.088,0.08,0.832,Drama
get-carter,-0.9997,0.1,0.086,0.814,Thriller
get-low,0.9999,0.091,0.11,0.799,Drama
get-on-up,1,0.071,0.109,0.82,Drama
ghost-rider,-1,0.144,0.069,0.787,Fantasy
ghost-ship,-0.9999,0.082,0.066,0.853,Action
ghost-world,1,0.093,0.132,0.775,Comedy
ghost,-0.9998,0.118,0.108,0.774,Romance
ghostbusters-2,1,0.083,0.114,0.802,Sci-Fi
ghostbusters,-0.9966,0.069,0.056,0.876,Fantasy
ginger-snaps,-1,0.124,0.093,0.783,Drama
gladiator,0.9998,0.105,0.114,0.78,Action
go,-0.9999,0.101,0.087,0.812,Crime
gods-and-monsters,1,0.1,0.124,0.776,Drama
godzilla,-1,0.088,0.066,0.846,Action
gone-in-60-seconds,-0.9999,0.089,0.079,0.832,Action
good-will-hunting,1,0.079,0.138,0.783,Comedy
gothika,-1,0.115,0.089,0.796,Horror
gran-torino,-0.9974,0.11,0.11,0.779,Crime
grand-hotel,1,0.088,0.131,0.782,Romance
grand-theft-parsons,1,0.084,0.118,0.797,Drama
gremlins-2,0.9988,0.074,0.081,0.845,Sci-Fi
gremlins,-0.9998,0.1,0.085,0.815,Horror
grosse-point-blank,0.9998,0.084,0.094,0.822,Thriller
groundhog-day,1,0.076,0.116,0.808,Romance
hackers,0.9998,0.1,0.119,0.781,Action
hall-pass,1,0.067,0.149,0.785,Romance
hancock,-1,0.112,0.085,0.803,Action
hanna,-0.9997,0.095,0.086,0.819,Mystery
hannibal,1,0.075,0.105,0.82,Horror
hard-rain,-1,0.092,0.064,0.844,Action
hard-to-kill,-0.9999,0.106,0.092,0.802,Action
harold-and-kumar-go-to-white-castle,-1,0.123,0.089,0.788,Adventure
he's-just-not-that-into-you,1,0.074,0.165,0.762,Comedy
heat,-0.9999,0.081,0.07,0.849,Thriller
heathers,-0.9999,0.131,0.118,0.751,Comedy
heist,0.9999,0.057,0.082,0.862,Drama
hellbound-hellraiser-ii,0.9987,0.099,0.103,0.799,Horror
hellboy-2-the-golden-army,-0.9996,0.101,0.094,0.804,Fantasy
hellboy,-0.9993,0.101,0.095,0.803,Sci-Fi
hellraiser-3-hell-on-ear,-0.9996,0.12,0.114,0.766,Horror
hellraiser-deader,-0.9998,0.094,0.084,0.821,Mystery
hellraiser-hellseeker,0.9992,0.093,0.099,0.808,Horror
hellraiser,-1,0.116,0.082,0.801,Horror
henry's-crime,1,0.078,0.135,0.787,Drama
henry-fool,0.9866,0.1,0.103,0.797,Drama
her,1,0.089,0.175,0.735,Sci-Fi
hesher,-1,0.129,0.075,0.796,Drama
high-fidelity,-1,0.163,0.127,0.709,Music
highlander,-0.9998,0.115,0.1,0.785,Action
his-girl-friday,1,0.073,0.1,0.827,Comedy
hitchcock,1,0.081,0.119,0.8,Drama
hollow-man,-1,0.099,0.076,0.826,Sci-Fi
honeydripper,1,0.069,0.132,0.799,Drama
horrible-bosses,-1,0.132,0.103,0.765,Crime
hostage,-1,0.105,0.066,0.829,Thriller
hot-tub-time-machine,1,0.109,0.14,0.751,Comedy
hotel-rwanda,0.9982,0.104,0.106,0.791,Thriller
house-of-1000-corpses,-0.9999,0.13,0.118,0.752,Horror
how-to-lose-friends-&-alienate-people,1,0.075,0.131,0.795,Romance
how-to-train-your-dragon-2,-0.9999,0.132,0.111,0.757,Animation
how-to-train-your-dragon,-1,0.157,0.094,0.75,Adventure
hudson-hawk,0.9998,0.101,0.111,0.787,Action
human-nature,1,0.094,0.159,0.748,Comedy
i'll-do-anything,1,0.099,0.135,0.767,Comedy
"i,-robot",-1,0.113,0.085,0.802,Sci-Fi
i-am-number-four,-0.9998,0.103,0.092,0.806,Sci-Fi
i-am-sam,1,0.089,0.133,0.778,Drama
i-love-you-phillip-morris,1,0.092,0.157,0.751,Drama
i-spit-on-your-grave,-1,0.112,0.09,0.798,Crime
i-still-know-what-you-did-last-summer,-0.9989,0.104,0.097,0.799,Thriller
in-the-bedroom,0.9999,0.07,0.091,0.838,Drama
in-the-loop,1,0.097,0.133,0.769,Comedy
inception,-0.9997,0.095,0.088,0.816,Mystery
indiana-jones-and-the-last-crusade,0.9993,0.075,0.082,0.843,Action
indiana-jones-and-the-raiders-of-the-lost-ark,0.9999,0.086,0.097,0.817,Adventure
indiana-jones-and-the-temple-of-doom,-1,0.107,0.072,0.821,Action
indiana-jones-iv,-1,0.116,0.097,0.787,Adventure
insidious,-0.9999,0.104,0.083,0.812,Thriller
insomnia,-0.9998,0.09,0.082,0.828,Crime
interstellar,0.9999,0.07,0.081,0.849,Drama
interview-with-the-vampire,-0.9999,0.14,0.124,0.736,Drama
into-the-wild,1,0.06,0.103,0.837,Drama
into-the-woods,-0.9991,0.112,0.104,0.783,Adventure
intolerable-cruelty,1,0.091,0.146,0.764,Comedy
inventing-the-abbotts,1,0.082,0.109,0.809,Drama
invictus,1,0.085,0.112,0.804,Drama
it's-a-wonderful-life,1,0.067,0.119,0.814,Romance
it's-complicated,1,0.063,0.146,0.791,Romance
jackie-brown,-0.999,0.091,0.094,0.815,Comedy
jacob's-ladder,-1,0.122,0.103,0.776,Drama
jane-eyre,1,0.105,0.134,0.761,Romance
jason-x,-1,0.131,0.094,0.776,Thriller
jaws-2,-0.9998,0.092,0.086,0.822,Thriller
jaws,-0.9997,0.09,0.083,0.827,Thriller
jay-and-silent-bob-strike-back,-0.9999,0.122,0.111,0.766,Adventure
jennifer's-body,-1,0.164,0.114,0.721,Comedy
jennifer-eight,-0.9999,0.108,0.098,0.794,Mystery
jimmy-and-judy,0.9999,0.112,0.129,0.76,Action
judge-dredd,-1,0.118,0.088,0.794,Action
juno,1,0.076,0.148,0.775,Drama
jurassic-park-the-lost-world,-1,0.094,0.065,0.84,Horror
kalifornia,-0.9999,0.091,0.08,0.829,Crime
kate-&-leopold,1,0.074,0.13,0.795,Fantasy
kids,1,0.104,0.149,0.747,Drama
kill-bill-volume-1-&-2,-1,0.114,0.092,0.794,Drama
kill-your-darlings,-0.9999,0.114,0.092,0.793,Romance
killing-zoe,0.9994,0.092,0.108,0.8,Thriller
king-kong,-1,0.118,0.079,0.803,Mystery
klute,0.9922,0.095,0.097,0.808,Crime
knocked-up,1,0.112,0.168,0.72,Comedy
kramer-vs-kramer,1,0.068,0.121,0.811,Drama
kundun,1,0.078,0.112,0.811,Drama
kung-fu-panda,-1,0.19,0.101,0.709,Animation
l.a.-confidential,-0.9997,0.105,0.099,0.797,Thriller
la-la-land,0.9982,0.108,0.104,0.787,Drama
labor-of-love,1,0.082,0.102,0.815,Drama
