Movie,hv,mv,lv,ha,ma,la,hd,md,ld,Genre
dogma,0.266118909049412,0.641561109209175,0.092319981741413,0.056715736619879,0.933356156567386,0.009928106812735,0.100193997489444,0.847540796530868,0.052265205979687,Comedy
double-indemnity,0.233662145499383,0.704932182490752,0.061405672009864,0.026510480887793,0.954377311960542,0.019112207151665,0.077558569667078,0.884463625154131,0.037977805178792,Crime
drag-me-to-hell,0.274963212108472,0.638007147361783,0.087029640529746,0.027328147992432,0.951229766659659,0.021442085347908,0.102165230187093,0.844229556443136,0.053605213369771,Horror
drive-angry,0.197655248213959,0.702326433412713,0.100018318373328,0.065396592782561,0.921230994687672,0.013372412529767,0.070159369847958,0.886609269096904,0.043231361055138,Action
drive,0.280060882800609,0.665905631659056,0.054033485540335,0.045357686453577,0.942922374429224,0.011719939117199,0.066210045662101,0.901522070015221,0.032267884322679,Crime
drop-dead-gorgeous,0.272036228368106,0.668930939673298,0.059032831958596,0.032185023451399,0.951156396571244,0.016658579977357,0.095099466278506,0.865922691250202,0.038977842471292,Comedy
dumb-and-dumber,0.260862865947612,0.667950693374422,0.071186440677966,0.036825885978428,0.949152542372881,0.01402157164869,0.079661016949153,0.873189522342065,0.047149460708783,Comedy
dune,0.230879292403746,0.697970863683663,0.071149843912591,0.035249739854319,0.937434963579604,0.027315296566077,0.067247658688866,0.876300728407908,0.056451612903226,Sci-Fi
e.t,0.262706546747542,0.68604894373562,0.051244509516838,0.035766576030119,0.939761556159799,0.024471867810082,0.096632503660322,0.864254340096214,0.039113156243464,Fantasy
eagle-eye,0.215695379614581,0.712793127466914,0.071511492918505,0.041328070582772,0.944625029022521,0.014046900394706,0.076967726956118,0.875203157650337,0.047829115393545,Mystery
eastern-promises,0.270476545048399,0.648175725986597,0.081347728965004,0.049702159344751,0.932799702159345,0.017498138495905,0.091772151898734,0.86150409530901,0.046723752792256,Crime
easy-a,0.258172114743162,0.667945296864576,0.073882588392262,0.04336224149433,0.945463642428286,0.011174116077385,0.105903935957305,0.860406937958639,0.033689126084056,Comedy
ed-wood,0.273521337659097,0.638757174943848,0.087721487397055,0.04492138757175,0.937359620663838,0.017718991764412,0.090466683304218,0.866608435238333,0.04292488145745,Drama
eight-legged-freaks,0.211567732115677,0.686263318112633,0.102168949771689,0.080479452054795,0.902777777777778,0.016742770167428,0.077054794520548,0.853881278538813,0.069063926940639,Comedy
el-mariachi,0.176829268292683,0.715609756097561,0.107560975609756,0.056341463414634,0.925121951219512,0.018536585365854,0.055121951219512,0.900243902439024,0.044634146341463,Crime
election,0.280854197349043,0.664948453608247,0.05419734904271,0.023416789396171,0.961561119293078,0.015022091310751,0.110898379970545,0.858173784977909,0.030927835051546,Comedy
elizabeth-the-golden-age,0.284501729016033,0.638478465891229,0.077019805092738,0.042282301163156,0.936497956617416,0.021219742219428,0.100282929896259,0.845488839987425,0.054228230116316,Drama
enough,0.371281731817474,0.565799719669833,0.062918548512693,0.043762653792244,0.939729014172247,0.016508332035509,0.10278772776826,0.856252920105903,0.040959352125837,Drama
entrapment,0.207157146032452,0.736496999333185,0.056345854634363,0.042565014447655,0.946543676372527,0.010891309179818,0.087130473438542,0.876305845743499,0.03656368081796,Thriller
erin-brockovic,0.263670606572282,0.664761657358098,0.07156773606962,0.033770619560982,0.94609689570074,0.020132484738278,0.084946096895701,0.874009611637875,0.041044291466424,Comedy
escape-from-l.a,0.188179537217731,0.724560914413159,0.087259548369111,0.080289935879565,0.908558684137162,0.011151379983273,0.069696124895456,0.860468357959297,0.069835517145247,Adventure
escape-from-new-york,0.199001051524711,0.739484752891693,0.061514195583596,0.125657202944269,0.863827549947424,0.010515247108307,0.051787592008412,0.826761303890641,0.121451104100946,Adventure
eternal-sunshine-of-the-spotless-mind,0.34442516953162,0.579246175682069,0.076328654786311,0.030121431950797,0.95000788519161,0.019870682857594,0.097934079798139,0.866582557956158,0.035483362245703,Drama
even-cowgirls-get-the-blues,0.235433604336043,0.633807588075881,0.130758807588076,0.031334688346884,0.9579945799458,0.010670731707317,0.081131436314363,0.876863143631436,0.042005420054201,Drama
event-horizon,0.218413468830578,0.717124222660397,0.064462308509025,0.032458668284544,0.953132109813438,0.014409221902017,0.072652813590171,0.881237676323373,0.046109510086455,Thriller
evil-dead-ii-dead-by-dawn,0.186101132909644,0.654048079579994,0.159850787510362,0.106797457861288,0.876623376623376,0.016579165515336,0.050151975683891,0.818872616744957,0.130975407571152,Action
ex-machina,0.256196818349981,0.703477617462079,0.040325564187939,0.025527192008879,0.953940066592675,0.020532741398446,0.096744358120607,0.877543470218276,0.025712171661117,Mystery
excalibur,0.286261107313739,0.618045112781955,0.095693779904306,0.067669172932331,0.911961722488038,0.020369104579631,0.091455912508544,0.845522898154477,0.063021189336979,Drama
existenz,0.265355837828432,0.64851226726988,0.086131894901688,0.048547068035497,0.937532625717766,0.013920306246738,0.116582564816426,0.837654428397425,0.045763006786149,Sci-Fi
extract,0.272976143918655,0.650762612436449,0.076261243644896,0.035979663668361,0.952874462260461,0.011145874071177,0.093077825576848,0.865858427845131,0.041063746578021,Comedy
face-off,0.220951433780872,0.672633847173877,0.106414719045251,0.052212829438091,0.932869219293884,0.014917951268026,0.084866567213658,0.844521796784353,0.070611636001989,Action
fair-game,0.241985522233712,0.6905008125277,0.067513665238588,0.03722854188211,0.947111833357955,0.015659624759935,0.091298566996602,0.870734229576008,0.03796720342739,Action
fantastic-four,0.225412267172856,0.651560090164907,0.123027642662238,0.101910072369202,0.880175584292324,0.017914343338474,0.082216158500415,0.863328983272037,0.054454858227548,Sci-Fi
fantastic-mr-fox,0.183727810650888,0.744230769230769,0.072041420118343,0.046449704142012,0.937426035502959,0.01612426035503,0.061390532544379,0.894378698224852,0.044230769230769,Animation
fargo,0.25986182304435,0.682861600178293,0.057276576777357,0.039001560062403,0.938266102072654,0.022732337864943,0.078448852239804,0.891464229997771,0.030086917762425,Thriller
fast-times-at-ridgemont-high,0.267429913400851,0.655217965653897,0.077352120945252,0.062674299134009,0.92396888301776,0.013356817848231,0.092176720974607,0.857184793776603,0.050638485248789,Comedy
fatal-instinct,0.231284085275161,0.662493802677243,0.106222112047595,0.046479920674269,0.939266236985622,0.014253842340109,0.076351016360932,0.866881507188894,0.056767476450174,Thriller
fear-and-loathing-in-las-vegas,0.21118648406502,0.689875847945731,0.098937667989249,0.046717010111353,0.939331882759503,0.013951107129144,0.075259183412262,0.864584666581339,0.0601561500064,Drama
feast,0.192436852095196,0.729741568112133,0.077821579792671,0.041319900715433,0.947875602277705,0.010804497006862,0.054606511899547,0.892247043363995,0.053146444736458,Action
ferris-bueller's-day-off,0.296368547418968,0.627701080432173,0.07593037214886,0.033313325330132,0.955432172869148,0.01125450180072,0.105192076830732,0.851590636254502,0.043217286914766,Comedy
field-of-dreams,0.287726008344923,0.657684283727399,0.054589707927677,0.033379694019472,0.953755215577191,0.012865090403338,0.099269819193324,0.869436717663421,0.031293463143255,Family
fight-club,0.225561187545257,0.682959208303162,0.091479604151581,0.051774076755974,0.931209268645909,0.017016654598117,0.077600772387159,0.874125030171373,0.048274197441468,Action
final-destination-2,0.204017666334236,0.689414446502351,0.106567887163414,0.050434534834022,0.935888303177091,0.013677161988887,0.068813221256589,0.857387092178373,0.073799686565038,Horror
