Scene Start,Scene End,Valence,Arousal,Dominance,mfcc1,mfcc2,mfcc3,mfcc4
2425,2429,5.48214285714286,4.09071428571429,5.66714285714286,-130.280920571692,120.138664254357,6.76432171137085,22.8592931675873
2430,2496,5.4205,4.025,5.4645,-140.962766033703,85.7553020161284,12.9842127772237,23.7292039529016
2436,2440,4.65666666666667,4.0225,5.02083333333333,-110.629687960125,75.2748867369782,19.9389914110112,20.5273222233409
2497,2506,5.24923076923077,4.17461538461538,5.39769230769231,-225.998654588307,105.63478649061,-3.06725201011282,37.0116069669459
2507,2539,5.43516666666667,4.16916666666667,5.32716666666667,-20.4760007894673,79.0279550681061,-7.92038955816801,35.1019954681596
2540,2557,5.31681818181818,3.85590909090909,5.21863636363636,0.830841196199744,95.2021235812588,-13.9884991971703,22.4285237124442
2558,2629,5.06529411764706,4.16313725490196,5.10333333333333,-200.780704228276,78.6803085419109,-10.4501006084407,25.2131226126595
2630,2644,5.36833333333333,4.18166666666667,4.88,-247.698342474367,120.786492301648,20.619648128957,37.2263486636459
2645,2864,5.34851063829787,4.03212765957447,5.24170212765957,-181.003374247923,108.613891830637,-6.16012024969527,28.0498708519006
2681,2850,5.70763440860215,4.18881720430107,5.38870967741936,-156.759213915683,104.428270971226,-11.3467619471157,26.9022071391927
2865,2882,5.6606976744186,3.86116279069767,5.49209302325581,-240.465643503935,124.899566314601,-9.5602422545427,33.6408532018397
2883,2909,5.63714285714286,4.06428571428571,5.75285714285714,-254.525638986212,128.40729157383,3.49446295244139,32.9964476394973
2910,3429,5.38474820143885,4.01442446043165,5.37838129496403,-165.447510017414,98.5731607706634,-8.55145409471268,21.9536802631112
3285,3319,5.31189655172414,3.93913793103448,5.29034482758621,-24.4541933756074,108.7773280288,-16.8033070417678,14.571328099705
3320,3324,3.17,6.35,3.62,-59.9467068424303,87.884182887339,-31.5710739580996,18.0243112879046
3325,3329,4.135,5.045,4.755,53.5104967359498,104.719932799489,-18.4606412268281,17.2540566925552
3330,3429,5.00948275862069,4.11189655172414,5.17172413793103,3.16837931173245,114.767435501254,-8.43183858228733,17.9848154572634
3429,3689,5.00122807017544,4.15035087719298,5.16368421052632,-322.257023037129,119.485157940706,-2.20912812809766,21.9592246135908
3490,3610,5.45766990291262,4.20873786407767,5.59145631067961,-325.933805730703,117.821463637366,-3.14478169977853,26.4874069983144
3610,3690,5.54542857142857,3.99071428571429,5.49028571428571,-426.882878921847,137.633721576073,-13.6787573441841,16.8927264240411
3690,3751,5.71103448275862,4.05241379310345,5.55241379310345,-313.200564542403,94.8050417228848,-27.624705429026,17.6590433599352
3785,3935,5.60743902439025,4.11774390243903,5.48079268292683,-189.786475485416,108.862244194558,-7.03766075348648,20.3144251256646
3936,4085,5.40824427480916,4.12870229007634,5.33435114503817,-306.073905587971,100.998828555644,-15.5261988262132,16.1348438946474
4137,4140,5.46318181818182,4.11636363636364,5.22318181818182,-219.958687039602,205.470191421248,-0.589970722878273,37.6662705238715
4141,4360,5.59294372294372,4.07212121212121,5.37679653679654,-268.575919637302,115.772716036807,-5.81741395166982,28.8435942072738
4365,4430,5.41619565217391,3.98945652173913,5.46978260869565,-292.559547674915,90.3164524179234,8.65172953621542,24.1621221249736
4495,4820,5.3314201183432,4.10224852071006,5.45958579881657,-408.942758764051,137.043508467532,-1.24600936758998,10.2722058865566
4824,4957,5.50688741721854,4.23993377483444,5.4394701986755,-399.386109025838,91.20710094032,-9.5952876232031,20.5768776541443
5100,5236,5.43527777777778,4.14631944444444,5.43097222222222,-337.915308441821,116.911756809395,9.11684635204588,22.3618430002249
5238,5274,5.47868421052632,4.21592105263158,5.42697368421053,-273.148807543336,141.24563348445,-5.41866569356062,35.1183584070633
5280,5298,5.35473684210526,3.89526315789474,5.24947368421053,-87.4056652944038,132.759942370629,19.3929085931474,13.5368811196294
5310,5580,5.33887417218543,4.10158940397351,5.31152317880795,-322.506286643889,132.672326545381,-3.10359803788336,23.72220247462
5585,5598,5.55578947368421,4.06684210526316,5.33684210526316,-351.665290418783,139.512677023462,18.1718675318479,19.1061685417027
5600,5673,5.32472,4.06536,5.37392,-229.421692734261,125.874506754049,-4.75423950988669,31.5197969024134
5675,5810,5.20740157480315,4.18330708661417,5.34708661417323,-405.094994351796,151.16114173008,-2.36830862760488,13.5282161736712
5983,6010,4.53961538461539,4.29384615384615,4.955,-147.079472261706,164.891932164212,8.72449592396038,35.4628997941059
