Movie,Vader Compound,Vader Neg,Vader Pos,Vader Neu,Genre
christ-complex,-0.9963,0.117,0.112,0.771,Fantasy
chronicle,-0.9999,0.136,0.11,0.754,Drama
chronicle,-0.9999,0.136,0.11,0.754,Sci-Fi
chronicle,-0.9999,0.136,0.11,0.754,Thriller
cirque-du-freak-the-vampire's-assistant,-0.9999,0.113,0.097,0.79,Action
cirque-du-freak-the-vampire's-assistant,-0.9999,0.113,0.097,0.79,Adventure
cirque-du-freak-the-vampire's-assistant,-0.9999,0.113,0.097,0.79,Fantasy
cirque-du-freak-the-vampire's-assistant,-0.9999,0.113,0.097,0.79,Thriller
citizen-kane,1,0.068,0.109,0.823,Drama
citizen-kane,1,0.068,0.109,0.823,Mystery
city-of-joy,1,0.08,0.124,0.796,Drama
clash-of-the-titans,-0.9998,0.116,0.103,0.782,Action
clash-of-the-titans,-0.9998,0.116,0.103,0.782,Adventure
clash-of-the-titans,-0.9998,0.116,0.103,0.782,Drama
clash-of-the-titans,-0.9998,0.116,0.103,0.782,Fantasy
clerks,-0.9999,0.12,0.112,0.768,Comedy
clerks,-0.9999,0.12,0.112,0.768,Drama
cliffhanger,-1,0.106,0.082,0.812,Action
cliffhanger,-1,0.106,0.082,0.812,Adventure
cliffhanger,-1,0.106,0.082,0.812,Thriller
cobb,0.9999,0.118,0.132,0.75,Drama
code-of-silence,-1,0.102,0.063,0.835,Action
code-of-silence,-1,0.102,0.063,0.835,Drama
cold-mountain,-0.7897,0.099,0.097,0.804,Drama
cold-mountain,-0.7897,0.099,0.097,0.804,War
cold-mountain,-0.7897,0.099,0.097,0.804,Romance
collateral-damage,-1,0.102,0.07,0.828,Action
collateral-damage,-1,0.102,0.07,0.828,Thriller
collateral,-1,0.101,0.075,0.823,Action
collateral,-1,0.101,0.075,0.823,Crime
collateral,-1,0.101,0.075,0.823,Thriller
colombiana,-0.9975,0.093,0.093,0.814,Action
colombiana,-0.9975,0.093,0.093,0.814,Crime
colombiana,-0.9975,0.093,0.093,0.814,Drama
commando,-1,0.089,0.047,0.865,Action
commando,-1,0.089,0.047,0.865,Thriller
conan-the-barbarian,-1,0.135,0.081,0.783,Action
conan-the-barbarian,-1,0.135,0.081,0.783,Adventure
conan-the-barbarian,-1,0.135,0.081,0.783,Fantasy
confessions-of-a-dangerous-mind,0.9999,0.107,0.13,0.763,Crime
confessions-of-a-dangerous-mind,0.9999,0.107,0.13,0.763,Drama
confidence,1,0.086,0.125,0.789,Crime
confidence,1,0.086,0.125,0.789,Drama
constantine,-1,0.107,0.081,0.812,Action
constantine,-1,0.107,0.081,0.812,Thriller
constantine,-1,0.107,0.081,0.812,Fantasy
constantine,-1,0.107,0.081,0.812,Drama
constantine,-1,0.107,0.081,0.812,Horror
coraline,1,0.092,0.112,0.796,Animation
coraline,1,0.092,0.112,0.796,Adventure
coraline,1,0.092,0.112,0.796,Family
coraline,1,0.092,0.112,0.796,Fantasy
coriolanus,-0.9999,0.143,0.119,0.737,Drama
coriolanus,-0.9999,0.143,0.119,0.737,Thriller
coriolanus,-0.9999,0.143,0.119,0.737,War
cowboys-&-aliens,-1,0.138,0.084,0.778,Action
cowboys-&-aliens,-1,0.138,0.084,0.778,Sci-Fi
cowboys-&-aliens,-1,0.138,0.084,0.778,Thriller
cradle-2-the-grave,-0.9999,0.102,0.081,0.817,Action
cradle-2-the-grave,-0.9999,0.102,0.081,0.817,Comedy
cradle-2-the-grave,-0.9999,0.102,0.081,0.817,Crime
cradle-2-the-grave,-0.9999,0.102,0.081,0.817,Drama
cradle-2-the-grave,-0.9999,0.102,0.081,0.817,Thriller
crank,-0.9999,0.109,0.093,0.798,Action
crank,-0.9999,0.109,0.093,0.798,Crime
crank,-0.9999,0.109,0.093,0.798,Drama
crank,-0.9999,0.109,0.093,0.798,Thriller
crash,-0.9996,0.089,0.077,0.834,Drama
crash,-0.9996,0.089,0.077,0.834,Thriller
crash,-0.9996,0.089,0.077,0.834,Romance
"crazy,-stupid,-love",1,0.097,0.155,0.748,Comedy
"crazy,-stupid,-love",1,0.097,0.155,0.748,Drama
"crazy,-stupid,-love",1,0.097,0.155,0.748,Romance
crazylove,1,0.073,0.132,0.794,Drama
crazylove,1,0.073,0.132,0.794,Romance
creation,0.9942,0.1,0.103,0.797,Drama
crime-spree,-0.9999,0.091,0.083,0.826,Crime
crime-spree,-0.9999,0.091,0.083,0.826,Comedy
croupier,1,0.082,0.113,0.805,Crime
croupier,1,0.082,0.113,0.805,Drama
cruel-intentions,1,0.118,0.157,0.725,Drama
cruel-intentions,1,0.118,0.157,0.725,Romance
custody,1,0.08,0.122,0.798,Comedy
dallas-buyers-club,-0.9994,0.101,0.095,0.804,Drama
dances-with-wolves,0.9999,0.087,0.094,0.819,Adventure
dances-with-wolves,0.9999,0.087,0.094,0.819,Drama
dances-with-wolves,0.9999,0.087,0.094,0.819,Western
dark-city,-1,0.102,0.074,0.824,Mystery
dark-city,-1,0.102,0.074,0.824,Sci-Fi
dark-city,-1,0.102,0.074,0.824,Thriller
darkman,-0.9996,0.105,0.098,0.797,Action
darkman,-0.9996,0.105,0.098,0.797,Crime
darkman,-0.9996,0.105,0.098,0.797,Sci-Fi
darkman,-0.9996,0.105,0.098,0.797,Thriller
date-night,1,0.082,0.11,0.808,Comedy
date-night,1,0.082,0.11,0.808,Crime
date-night,1,0.082,0.11,0.808,Romance
dave-barry's-complete-guide-to-guys,0.9999,0.072,0.105,0.823,Comedy
day-of-the-dead,-1,0.135,0.082,0.783,Horror
day-of-the-dead,-1,0.135,0.082,0.783,Drama
day-of-the-dead,-1,0.135,0.082,0.783,Sci-Fi
day-of-the-dead,-1,0.135,0.082,0.783,Thriller
dead-poets-society,1,0.07,0.124,0.805,Drama
deadpool,-1,0.118,0.097,0.785,Action
deadpool,-1,0.118,0.097,0.785,Adventure
deadpool,-1,0.118,0.097,0.785,Comedy
dear-white-people,1,0.094,0.126,0.78,Comedy
dear-white-people,1,0.094,0.126,0.78,Drama
death-at-a-funeral,-0.9999,0.123,0.103,0.774,Comedy
death-to-smoochy,1,0.09,0.128,0.782,Comedy
death-to-smoochy,1,0.09,0.128,0.782,Crime
deception,1,0.087,0.109,0.805,Crime
deception,1,0.087,0.109,0.805,Drama
deception,1,0.087,0.109,0.805,Mystery
deception,1,0.087,0.109,0.805,Romance
deception,1,0.087,0.109,0.805,Thriller
deep-cover,-0.9999,0.111,0.097,0.792,Action
deep-cover,-0.9999,0.111,0.097,0.792,Crime
deep-cover,-0.9999,0.111,0.097,0.792,Thriller
defiance,-1,0.116,0.087,0.797,Action
defiance,-1,0.116,0.087,0.797,Drama
defiance,-1,0.116,0.087,0.797,Thriller
defiance,-1,0.116,0.087,0.797,War
despicable-me-2,0.9999,0.091,0.115,0.794,Animation
despicable-me-2,0.9999,0.091,0.115,0.794,Adventure
despicable-me-2,0.9999,0.091,0.115,0.794,Comedy
detroit-rock-city,1,0.102,0.122,0.776,Adventure
detroit-rock-city,1,0.102,0.122,0.776,Comedy
detroit-rock-city,1,0.102,0.122,0.776,Musical
devil's-advocate,0.9999,0.101,0.12,0.779,Drama
devil's-advocate,0.9999,0.101,0.12,0.779,Horror
devil's-advocate,0.9999,0.101,0.12,0.779,Thriller
devil-in-a-blue-dress,1,0.085,0.143,0.771,Crime
devil-in-a-blue-dress,1,0.085,0.143,0.771,Mystery
devil-in-a-blue-dress,1,0.085,0.143,0.771,Thriller
die-hard-2,-0.9999,0.1,0.089,0.811,Action
die-hard-2,-0.9999,0.1,0.089,0.811,Thriller
die-hard,-1,0.106,0.081,0.813,Action
die-hard,-1,0.106,0.081,0.813,Thriller
diner,1,0.073,0.108,0.818,Comedy
diner,1,0.073,0.108,0.818,Drama
disturbia,0.9985,0.074,0.08,0.846,Thriller
dog-day-afternoon,-0.9999,0.099,0.086,0.815,Comedy
dog-day-afternoon,-0.9999,0.099,0.086,0.815,Drama
