"Movie","Anger","Anticipation","Disgust","Fear","Joy","Negative","Positive","Sadness","Surprise","Trust","Genre"
"oblivion","0.0551971326165","0.0793309438471","0.0365591397849","0.0798088410992","0.0399044205496","0.141696535245","0.129749103943","0.0712066905615","0.0327359617682","0.0616487455197","Action"
"oblivion","0.0551971326165","0.0793309438471","0.0365591397849","0.0798088410992","0.0399044205496","0.141696535245","0.129749103943","0.0712066905615","0.0327359617682","0.0616487455197","Adventure"
"oblivion","0.0551971326165","0.0793309438471","0.0365591397849","0.0798088410992","0.0399044205496","0.141696535245","0.129749103943","0.0712066905615","0.0327359617682","0.0616487455197","Sci-Fi"
"observe-and-report","0.0808842652796","0.096488946684","0.0533159947984","0.0925877763329","0.0845253576073","0.154486345904","0.202860858257","0.0660598179454","0.051755526658","0.133680104031","Comedy"
"observe-and-report","0.0808842652796","0.096488946684","0.0533159947984","0.0925877763329","0.0845253576073","0.154486345904","0.202860858257","0.0660598179454","0.051755526658","0.133680104031","Crime"
"observe-and-report","0.0808842652796","0.096488946684","0.0533159947984","0.0925877763329","0.0845253576073","0.154486345904","0.202860858257","0.0660598179454","0.051755526658","0.133680104031","Drama"
"obsessed","0.0513530135301","0.0934809348093","0.0378228782288","0.0691881918819","0.090405904059","0.124846248462","0.15405904059","0.0651906519065","0.059963099631","0.0845633456335","Drama"
"obsessed","0.0513530135301","0.0934809348093","0.0378228782288","0.0691881918819","0.090405904059","0.124846248462","0.15405904059","0.0651906519065","0.059963099631","0.0845633456335","Thriller"
"oceans-eleven","0.0637244792741","0.0810476386884","0.0288719323572","0.0812538667767","0.0583625489792","0.114869045164","0.146628170757","0.0521757063312","0.0439265828006","0.0921839554547","Comedy"
"oceans-eleven","0.0637244792741","0.0810476386884","0.0288719323572","0.0812538667767","0.0583625489792","0.114869045164","0.146628170757","0.0521757063312","0.0439265828006","0.0921839554547","Thriller"
"oceans-eleven","0.0637244792741","0.0810476386884","0.0288719323572","0.0812538667767","0.0583625489792","0.114869045164","0.146628170757","0.0521757063312","0.0439265828006","0.0921839554547","Crime"
"oceans-twelve","0.0433462175594","0.0739922694644","0.0289895085588","0.0684704583103","0.0579790171176","0.115958034235","0.151021535064","0.0571507454445","0.0474875759249","0.103810049696","Comedy"
"oceans-twelve","0.0433462175594","0.0739922694644","0.0289895085588","0.0684704583103","0.0579790171176","0.115958034235","0.151021535064","0.0571507454445","0.0474875759249","0.103810049696","Crime"
"oceans-twelve","0.0433462175594","0.0739922694644","0.0289895085588","0.0684704583103","0.0579790171176","0.115958034235","0.151021535064","0.0571507454445","0.0474875759249","0.103810049696","Thriller"
"one-flew-over-the-cuckoo's-nest","0.0612910743416","0.0855278489863","0.0342577487765","0.0771381962247","0.0573292938709","0.130039617805","0.135865765556","0.0596597529713","0.0405499883477","0.0806338848753","Drama"
"only-god-forgives","0.0722543352601","0.0895953757225","0.0321130378934","0.0931278098908","0.0696852922286","0.148362235067","0.15061014772","0.0687219010918","0.0456005138086","0.0947334617855","Crime"
"only-god-forgives","0.0722543352601","0.0895953757225","0.0321130378934","0.0931278098908","0.0696852922286","0.148362235067","0.15061014772","0.0687219010918","0.0456005138086","0.0947334617855","Drama"
"only-god-forgives","0.0722543352601","0.0895953757225","0.0321130378934","0.0931278098908","0.0696852922286","0.148362235067","0.15061014772","0.0687219010918","0.0456005138086","0.0947334617855","Thriller"
"ordinary-people","0.0625715375811","0.108737123235","0.0515070583747","0.0770698206791","0.109881724533","0.159099580313","0.195726821824","0.0969095764975","0.065623807707","0.124761541396","Drama"
"orphan","0.0664549784532","0.0895894760717","0.0446813336357","0.090043093672","0.085053300068","0.164209571331","0.15014742572","0.0870945792697","0.0548877296439","0.0920843728737","Drama"
"orphan","0.0664549784532","0.0895894760717","0.0446813336357","0.090043093672","0.085053300068","0.164209571331","0.15014742572","0.0870945792697","0.0548877296439","0.0920843728737","Horror"
"orphan","0.0664549784532","0.0895894760717","0.0446813336357","0.090043093672","0.085053300068","0.164209571331","0.15014742572","0.0870945792697","0.0548877296439","0.0920843728737","Mystery"
"out-of-sight","0.065808297568","0.0813406907828","0.035969752708","0.0737788677703","0.0494584099734","0.13345595749","0.117106069896","0.056815859391","0.041692213366","0.0731657469855","Comedy"
