Time,Spectral Centroid
4790.27,639.118458464913
4791.384,587.861455240162
4792.499,825.630400956963
4793.613,1305.42119120274
4794.728,2068.18289302125
4795.843,1806.41490626063
4796.957,1406.89284174569
4798.072,941.4227988926
4799.186,1532.20064500809
4800.301,1541.46528018276
4801.415,1720.47211906042
4802.53,1942.28811115119
4803.644,2561.74816507181
4804.759,1922.36848908549
4805.874,1649.84343742847
4806.988,1943.77875635982
4808.103,1551.93166513967
4809.217,1661.29177218414
4810.332,1162.51000616244
4811.446,762.94164266738
4812.561,843.711137574424
4813.675,1028.93191802546
4814.79,960.640865856825
4815.905,1678.4702182273
4817.019,1340.50396692412
4818.134,1635.90705477703
4819.248,3003.30135920959
4820.363,1968.92704056734
4821.477,1859.14870562486
4822.592,1976.33395470412
4823.706,1898.17348581008
4824.821,1944.34170986211
4825.936,1766.717499083
4827.05,2038.10074697351
4828.165,2662.44746059605
4829.279,2433.20503216184
4830.394,2303.61946370403
4831.508,2591.17829260141
4832.623,2165.06240043455
4833.737,2280.13831612088
4834.852,1872.55286916833
4835.967,1980.15815623097
4837.081,1431.9751729732
4838.196,1869.42447369135
4839.31,1738.08571676789
4840.425,2418.19210616966
4841.539,2207.6818513007
4842.654,2560.33954826759
4843.768,1988.58723573166
4844.883,2008.32433151391
4845.998,1643.56089130339
4847.112,1835.26714419398
4848.227,1328.4265970559
4849.341,1142.34978476023
4850.456,1968.50058105928
4851.57,2156.12127592883
4852.685,1971.65510986117
4853.799,1550.32713976089
4854.914,1561.57434089815
4856.029,2611.57703297869
4857.143,2477.92306018862
4858.258,2402.28425987095
4859.372,2330.9798191859
4860.487,2402.44913167475
4861.601,2625.49368187901
4862.716,2258.14905650104
4863.83,2213.39434377994
4864.945,1696.64532116762
4866.06,1665.53380109953
4867.174,1933.48766106225
4868.289,1704.36296547864
4869.403,1824.99720383049
4870.518,1687.90059529287
4871.632,1334.37229811761
4872.747,1400.77271045366
4873.861,1614.61599386824
4874.976,1262.73617178464
4876.091,1332.28008528578
4877.205,1054.41074039175
4878.32,1601.98605874183
4879.434,986.850486741184
4880.549,2564.07387521236
4881.663,2449.26520209718
4882.778,2394.77442900974
4883.892,2119.70213503484
4885.007,2760.1528631231
4886.122,2346.77113464505
4887.236,2646.18213758669
4888.351,2393.60231571195
4889.465,2182.66414139814
4890.58,721.623713065437
4891.694,600.422858951747
4892.809,1362.61379230824
4893.923,1485.42577452472
4895.038,1765.17869042115
4896.153,1016.48160705398
4897.267,395.689940690587
4898.382,558.255340514919
4899.496,778.659074852791
4900.611,650.945477946078
4901.725,849.838355657048
4902.84,1229.55212263638
4903.954,1279.92017732697
4905.069,695.164048897514
4906.184,678.731112498271
4907.298,879.056584748188
4908.413,804.112407666388
4909.527,867.617072609721
4910.642,770.72662612765
4911.756,644.563168808393
4912.871,709.288970342633
4913.985,992.203484799419
4915.1,614.556376117505
4916.215,644.914120048889
4917.329,713.849929278818
4918.444,920.280100418867
4919.558,852.091875146449
4920.673,916.775544225964
4921.787,864.673347898982
4922.902,942.32980419767
4924.016,1433.97388336131
4925.131,1176.42183638835
4926.246,1032.48597058365
4927.36,881.626926511914
4928.475,1157.98283006046
4929.589,911.87509664246
4930.704,989.513948935658
4931.818,1004.39575924379
4932.933,1159.13509719193
4934.048,1305.54177468337
4935.162,1114.79296104356
4936.277,1502.4103629807
4937.391,1400.63008674134
4938.506,1683.0116861615
4939.62,1353.29948756156
4940.735,2013.72692056645
4941.849,1839.00548163986
4942.964,1291.02510073269
4944.079,1458.09090189922
4945.193,1206.20470689074
4946.308,1240.02768465325
4947.422,982.318845940432
4948.537,1257.7874632778
4949.651,925.050167809195
4950.766,899.192338971716
4951.88,1030.27201832925
4952.995,1225.09284113454
4954.11,1442.2217295814
4955.224,1354.95318649029
4956.339,1131.56963548079
4957.453,1313.60948253067
4958.568,1601.66481103451
4959.682,1672.51531834261
4960.797,1524.88373185043
4961.911,1411.89826480974
4963.026,1540.09665358011
4964.141,1256.35453547914
4965.255,1190.86315926823
4966.37,1042.6133720861
4967.484,851.824261953868
4968.599,845.80093139591
4969.713,888.917974556345
4970.828,1315.77977947162
4971.942,1153.3439812745
4973.057,1083.37312058768
4974.172,1332.15157449148
4975.286,1112.75854595009
4976.401,845.064925145277
4977.515,810.614052547288
4978.63,1657.43944038278
4979.744,1891.16144516756
4980.859,1405.06489448998
4981.973,1467.50249981573
4983.088,1595.37320474439
4984.203,1384.08269858664
4985.317,1125.12818158232
4986.432,1736.48998420626
4987.546,1194.56023041864
4988.661,1201.67848304519
4989.775,975.602645671209
4990.89,1071.76875546508
4992.004,974.344499952926
4993.119,964.555884799759
4994.234,1022.63021509898
4995.348,1109.08668250722
4996.463,1013.60382968731
4997.577,934.47294990256
4998.692,985.141781111208
4999.806,986.190756644285
5000.921,1165.64107439875
5002.035,1145.31843917119
5003.15,1376.6924707065
5004.265,1121.69616575776
5005.379,1445.32989143895
5006.494,1114.11880105987
5007.608,1156.84073300102
5008.723,1132.16649559709
5009.837,1335.74800339849
5010.952,1135.794708778
5012.066,1846.40485948977
5013.181,2094.01493817218
5014.296,2126.16950795611
5015.41,2251.11688695172
5016.525,2174.31030487213
5017.639,2612.35436978416
5018.754,2431.06137219289
5019.868,1134.50225264015
5020.983,1465.0839533417
5022.097,1229.53753885993
5023.212,975.481662248509
5024.327,1167.43678170557
5025.441,972.13686309968
5026.556,1583.86905092035
5027.67,1274.84096628213
5028.785,1041.94134296837
5029.899,1350.96639182767
5031.014,1461.800374507
5032.128,1723.11245912269
5033.243,1770.45152221196
5034.358,1581.31564348325
5035.472,1472.2460617401
5036.587,1635.6038313367
5037.701,1624.57960089333
5038.816,1597.56754648953
5039.93,1725.67643184753
5041.045,1437.76174566619
5042.159,1608.81376003955
5043.274,1640.69025356306
5044.389,1505.67780006348
5045.503,1433.91649216537
5046.618,1875.80426424875
5047.732,1942.46425472433
5048.847,1708.29885837096
5049.961,1334.99433381002
5051.076,1632.2072126081
5052.19,1947.70834822819
5053.305,1717.03158124817
5054.42,1190.6117723559
5055.534,1327.69904370194
5056.649,1357.75915398852
5057.763,1578.25425547209
5058.878,1353.60054803796
5059.992,1212.04153313754
5061.107,1630.24097686294
5062.221,1477.73774401221
5063.336,1575.17197240816
5064.451,1760.20160928957
5065.565,1747.87669975468
5066.68,1773.7119483137
5067.794,1257.4179770112
5068.909,1884.38859228194
5070.023,1412.82186479349
5071.138,1472.11493245565
5072.252,1275.43543622682
5073.367,1884.36544998224
5074.482,2062.19534858593
5075.596,1472.98877974384
5076.711,639.795185622765
5077.825,736.852387095445
5078.94,1462.8375577471
5080.054,1741.22109867462
5081.169,1949.22534845473
5082.283,1588.06994267508
5083.398,1610.40843232936
5084.513,1754.70193015399
5085.627,1810.07077414305
