Scene Start,Scene End,Valence,Arousal,Dominance,Audio Energy,Spectral Centroid,mfcc1,mfcc2,mfcc3,mfcc4
3781,3845,5.61702380952381,4.08095238095238,5.42535714285714,0.031664634305935,2466.38125698017,-240.080335452313,89.2638278902479,-2.41991611508496,23.9952637105372
3848,3852,5.62333333333333,3.86222222222222,5.53333333333333,0.02025304883809,2407.4414752055,-264.243838514612,89.4762801604936,-8.62555249847695,38.4354487914451
3853,4005,5.3873595505618,3.9873595505618,5.56123595505618,0.035301368910325,2279.43093651727,-269.58067914275,100.019747615063,-4.0470093470568,25.528211064905
4006,4029,5.54875,4.0528125,5.7484375,0.072870614349667,2839.57107799337,-183.743820180926,70.3081892085833,-17.1824090226535,34.0130685201898
4030,4090,5.445,4.09222222222222,5.59333333333333,0.018167149720266,2373.80964428124,-338.936801271185,92.9978896845631,2.28494028612164,23.1079787318225
4091,4118,5.94885714285714,3.87028571428571,5.79657142857143,0.01515520782842,2706.74237947473,-317.36242775684,77.2851403892594,-33.6302026655589,6.01117501454905
4121,4305,5.71392857142857,4.22428571428572,5.57059523809524,0.008472093387288,1942.61350145414,-407.815989110456,107.260578158681,20.3044055991266,23.7767177327408
4306,4403,5.554875,4.148125,5.63475,0.032735679377515,2590.10712282563,-255.59973432502,82.3661637051901,-20.0967453299685,17.9392473864004
4404,4445,5.7354054054054,3.94783783783784,5.65837837837838,0.019677784916261,2389.33266445962,-345.918042245227,95.8396830100754,-11.3928362873612,20.1913271101824
4446,4470,5.64857142857143,4.28,5.46142857142857,0.014731942090567,2194.41862850469,-371.858486443072,105.991365698538,27.3000692291888,32.2521645706848
4484,4521,5.98066666666667,3.67,5.86866666666667,0.017939111501941,2076.73013979291,-297.592734396393,106.539979351735,-16.4729830631076,11.7316735709121
4522,4555,5.39825,3.8495,5.332,0.015621478167183,2109.65814718611,-354.439252435079,100.38405290494,-9.18040723910507,12.8095989279084
4556,4585,5.66153846153846,4.10384615384615,5.44307692307692,0.074717000193572,1924.37719867322,-127.555905935152,115.428355964935,-22.2399115619001,26.3882888554587
4586,4685,5.87225352112676,4.08338028169014,5.69239436619718,0.015967471285501,3279.17639563883,-381.480982645625,54.4268411248312,-0.901495805019799,23.2398241172093
4686,4800,5.5573417721519,4.0853164556962,5.54227848101266,0.01660154273653,2501.28462963807,-390.6466073796,84.6580922888728,7.66580346601481,26.0661201842086
4801,4825,5.39833333333333,3.49833333333333,5.45083333333333,0.109300726506932,2206.61612571481,-92.577982029279,100.402203017416,-7.47444599303041,26.7875803151106
4830,4845,5.76076923076923,3.74461538461539,5.58384615384615,0.079264443775097,1995.03100830638,-149.181481222072,111.743713071376,-14.864100072664,29.9094897277392
4846,4880,5.524,3.78771428571429,5.41657142857143,0.064076710793728,2101.90884670084,-233.532485902728,104.591582387118,-12.4740970071159,20.893360670062
4890,4925,5.37842105263158,4.16631578947368,5.32947368421053,0.028063178463037,2486.5547461466,-302.10361916991,83.3017041565829,-8.3091314128895,24.1617878408799
4951,4970,5.4245652173913,4.14173913043478,5.56217391304348,0.045380293232211,2118.84491466771,-217.960759266458,108.465977565471,-6.99290616295631,25.6886079347087
5010,5036,5.56103448275862,3.93793103448276,5.64551724137931,0.022899851123345,1992.94956718077,-301.940648883453,113.567540382241,-9.13326681478226,11.7522458193623
5055,5070,4.90375,4.99625,4.80125,0.022469380043063,2958.19228866191,-317.768603800177,57.6427915175798,-23.2179565935937,13.2683704332053
5100,5156,5.18,4.3325,5.39153846153846,0.099853363810979,2155.30286385098,-120.788397088457,105.590870015147,-13.0128141958912,26.4337679476129
5165,5245,5.439,3.98075,5.446625,0.033916985944105,2446.4845109198,-250.378740963244,89.7750494175484,-11.9160101085874,20.2673244751957
5246,5258,5.29533333333333,4.06866666666667,5.41733333333333,0.176059254449502,2170.34722482493,-54.6473947658173,101.348650592216,-4.3898850858772,25.3269661347277
5259,5303,5.42310344827586,4.31327586206897,5.56344827586207,0.056738924806432,2761.32758841632,-179.389274227618,73.9990963112349,-20.6784735451819,14.7121864406298
5304,5319,5.68076923076923,3.91807692307692,5.60538461538462,0.050097976851348,2067.83218141941,-227.84132478118,110.147024930515,-11.8510397447238,16.4266724873455
5320,5389,5.31849315068493,4.29986301369863,5.47616438356164,0.042481566846708,2343.16682818112,-236.754205619517,96.7154986352719,-0.683459131694746,22.408626177571
5390,5730,5.4155737704918,4.26393442622951,5.50498360655738,0.038009654538963,2431.32123903147,-247.575453249682,91.6031927852919,-1.9421668127955,19.4593411120871
