Scene Start,Scene End,Valence,Arousal,Dominance,Audio Energy,Spectral Centroid,mfcc1,mfcc2,mfcc3,mfcc4
3669,3820,5.86298507462687,4.03492537313433,5.61134328358209,0.010389868546387,1928.62778265189,-420.869195792683,98.7098105195702,26.6121609899202,32.1253030961028
3821,3915,6.11526315789474,4.14228070175439,5.8519298245614,0.008806389020785,2257.57993135035,-452.878777839992,95.063544538616,29.0967908527291,27.5116676229384
3924,4024,5.41723404255319,4.13872340425532,5.28531914893617,0.015297114183638,1988.92954700628,-385.595862030394,90.5132417452792,27.7810061646808,45.7283199426264
4040,4066,5.71391304347826,3.71869565217391,5.45478260869565,0.120678358563408,2964.05637192746,-83.6821713512614,61.089531464381,-0.436789050002824,36.0206752251383
4135,4158,5.33894736842105,3.75105263157895,5.36315789473684,0.019698290444864,1132.08903151072,-376.028624701564,140.23301413732,30.3082691242844,30.2782982823025
4260,4352,5.9536170212766,3.9963829787234,5.66702127659575,0.007294545455361,2217.41446624148,-445.263327858016,95.5718228671926,11.3010509350066,27.3816804112596
4353,4365,5.84142857142857,4.11285714285714,5.77,0.006685075693287,2307.129700961,-437.445295881534,95.3667754872158,16.777831641701,18.8762814409498
4366,4645,5.88823529411765,3.89084033613445,5.78991596638656,0.007999925122828,2233.90907314021,-439.625065411902,94.5120051608537,19.1857698310669,26.9971573912049
4646,4669,5.80333333333333,3.69277777777778,5.83666666666667,0.002706713645004,2499.30128519234,-513.906921155138,83.7409112119276,20.2710930046101,26.3115884913918
4680,4685,5.98444444444445,3.72444444444444,5.76111111111111,0.021629542317138,2885.02036082728,-259.836642535079,68.8668225842848,15.6257155326893,28.8949398232979
4710,4731,5.67333333333333,3.93740740740741,5.4037037037037,0.035299934100173,2090.76250585469,-267.461629553467,95.4188561997036,26.5257894945683,32.6334839545488
4732,4734,4.56666666666667,4.66,4.37666666666667,0.010859116859028,3235.69030467442,-292.151925078674,70.475553655084,2.37217294714919,13.9262152736324
4735,4760,5.77090909090909,4.14363636363636,5.57090909090909,0.017633980106725,2042.47913817525,-324.066183641088,108.692877017389,2.08826114414065,28.5991404585406
4761,4763,3.24,4.36,3.78,0.014354871544243,1846.82173673237,-330.450643219661,110.486294993761,-2.68307828247981,27.1840306840183
4768,4779,5.13666666666667,4.09666666666667,5.14666666666667,0.036934651310735,2306.6485466827,-182.144484689722,98.9264556648418,-9.54617598902048,19.4594802995327
4788,4798,4.62153846153846,4.51076923076923,5.00307692307692,0.223892232101625,2905.4999939273,-0.117093743830178,74.8443068502165,0.533104308586349,17.4096565951017
4804,4828,5.69647058823529,3.83941176470588,5.11176470588235,0.061101140240413,2597.58540762584,-136.698107107408,87.9455192730052,-3.37347269419241,22.92786250223
4829,4835,5.70571428571429,3.6,5.8,0.015617879350103,2063.22246717852,-293.989263343556,113.021028064447,-26.2627859834552,17.9388385425329
4836,4840,4.726,4.338,4.766,0.070701896659286,1436.86200943892,-155.976912398773,151.120207002405,-24.8968116528019,30.6001584943954
4840,4844,5.39666666666667,3.82666666666667,5.99333333333333,0.030006909304712,2537.00777032512,-250.411436303495,92.9166134564641,-7.36408037899763,19.3605589461679
4845,4850,5.39,3.75666666666667,5.82666666666667,0.017585930523261,2330.12921665679,-239.625114824528,101.688024143433,-21.647513695425,20.436916633808
4863,4870,5.2975,3.40375,4.965,0.035018134412492,2042.93068627502,-240.077649804323,107.347845683385,-7.93208847161533,28.6516405113675
4870,4875,6.99,3.545,5.425,0.018911299516226,2127.58347399479,-296.832590778766,96.6031032510815,-16.9751510115734,35.0751518943588
4877,4884,5.52,3.32,4.65,0.020948317741211,1413.71492777111,-309.766456351553,138.666119135802,-25.955533833227,21.1974138851425
4888,4890,4.93333333333333,3.10333333333333,5.06,0.006003801490934,2598.87593801303,-370.645192167126,82.5375554104285,1.74278971057676,25.2428212750462
4895,4916,5.228,3.486,5.182,0.006435957161884,1772.80379950522,-409.075512520509,109.476021889973,0.999441181283496,26.50589556824
4940,4945,5.41875,3.58125,5.44625,0.028763669443488,1590.65220990923,-256.148703748181,141.62062893154,-2.21614304016723,21.8491506673023
4946,4954,6.46333333333333,4.27,5.48166666666667,0.147301712249744,2388.95179934403,-67.9193716999128,100.926863671183,-8.91894590491532,23.7402275040745
4955,4965,5.21777777777778,4.39277777777778,5.38833333333333,0.160037109819281,3095.95310484945,-30.6968442437324,65.2977890255872,-15.8729596245882,13.6266155291713
4971,5004,5.62926829268293,3.87585365853659,5.65585365853659,0.163156927965491,2530.96842259971,-47.7196068122684,88.5366500876433,-7.461677487519,22.4360234261761
5027,5054,4.84142857142857,4.60285714285714,5.31071428571429,0.070787214364454,2373.24646059657,-188.193855751079,90.3553676293186,-10.2921784336239,25.9159542149791
5055,5100,5.2125,4.59333333333333,5.40166666666667,0.097107980612993,1944.48327515286,-154.091529965173,113.037919937592,-8.51280984003861,24.3049369276052
5105,5108,5.72714285714286,3.95214285714286,5.36642857142857,0.053373810454937,1664.29980116346,-183.378330794152,133.484679719896,-7.3306872396726,16.1166587819554
5109,5112,5.9275,3.87,5.6225,0.020779322508907,1683.88408474747,-291.714095046952,130.2355081221,-16.9971506880783,18.5525245792352
5112,5120,4.94533333333333,4.19733333333333,4.966,0.031671522058771,1877.01893618287,-271.174106284634,117.040092798037,-19.0882289934687,18.7103520351171
5121,5128,3.855,4.16,4.96,0.031986072445525,2093.92004294203,-251.292848559142,108.096979793602,-5.1280135356465,22.3588189446782
5129,5131,5.21571428571429,4.19,5.53,0.019134756624776,1749.38164109662,-281.12262422689,118.71358999766,-9.99815312635578,30.587600798668
5132,5134,5.47,3.05,4.59,0.015662338636147,1745.0808655361,-315.628610376441,130.995884176403,1.0534337126996,23.0757925148459
5134,5146,5.72625,4.0875,5.6575,0.02670740890182,2090.16252980074,-257.467600209531,114.896312808935,0.178571431948669,21.4429898362775
5147,5155,5.15,3.51714285714286,5.02857142857143,0.062901580319967,3025.44527976126,-192.897975294758,93.2689048309272,16.1684538448007,23.1546348287221
5156,5172,5.52166666666667,4.03916666666667,5.56083333333333,0.023940509310138,2407.82136319318,-286.22586737064,98.1286445291513,5.39454400383968,18.3564933814714
