Time,Audio Energy,Spectral Centroid,mfcc1,mfcc2,mfcc3,mfcc4
5171.42,0.056741409538667,1088.78966844442,-214.699988742809,179.109677744528,-21.4931096318224,14.3841076712041
5172.534,0.044439623028796,2453.13904145692,-165.160468476347,90.2280569009115,-18.5942213579996,20.6522506107763
5173.649,0.026656271116917,2883.45561313465,-214.292644008376,74.8115473008329,-9.71713700931653,16.5843604879921
5174.763,0.033917514888061,3016.26577017347,-188.57611488601,70.0738506919196,-9.05948215255748,15.1210704394733
5175.878,0.043456493559555,2356.77920568026,-181.413731934802,94.6970194740763,-24.9367999441155,14.2317100379002
5176.993,0.045660613128841,2426.6613993173,-183.378032793357,88.1742994939808,-8.21266233679041,24.0760161793097
5178.107,0.027996755147613,1938.22103899521,-247.885878787296,116.241386103346,-23.1366440653683,7.72849059564412
5179.222,0.029242147941882,2720.65230583864,-205.182666636458,83.4365999082562,-8.61766521303705,1.47333835489826
5180.336,0.04727968521318,2407.07485482487,-180.561906585795,87.1043359443786,-17.8713176396045,5.84813364023314
5181.451,0.038079553896006,2981.29102520332,-179.460891205287,75.8214399042698,1.93495525932361,2.6535275569233
5182.565,0.059631157544376,1554.78332617475,-174.736300756319,142.745698463596,-10.2315799707287,-2.54083812462053
5183.68,0.03820152530646,1781.31543559448,-214.468409280017,131.474576982621,1.64773127500787,-2.37873718762624
5184.794,0.048127429916919,1717.71653171602,-189.344812187373,134.290141953561,-2.3132730233319,-8.18700480263602
5185.909,0.045109266858324,1131.47297881338,-229.879121550526,181.373106498388,-23.9556819305598,1.23758217874484
5187.023,0.029079240180766,1019.86897767815,-300.413692307923,180.958236319953,-2.906284423853,2.74301569874153
5188.138,0.024022697479244,889.348758220688,-332.566056698219,181.970473387639,22.2373575357572,7.72963906771015
5189.253,0.023893594671903,1865.03298902541,-296.115370273485,122.76162507396,14.8880336991308,23.2760016322345
5190.367,0.01406803826853,1888.8191517061,-329.881656886945,116.541408341805,-2.89973342583337,22.6403470869838
5191.482,0.009223029844795,1880.11788544547,-349.118577361093,115.739710916076,-12.2876886114571,13.8868297922305
5192.596,0.015821143584322,2948.92120893107,-280.936552198752,71.0467391430851,3.31492386185036,25.7502072258772
5193.711,0.009937405835946,2251.00029380422,-350.882364097621,103.437119785088,-3.50314836789819,4.76391057903468
5194.825,0.01115421091802,1450.64877376904,-340.825138058459,147.287715274188,-13.4336592814492,-1.84455034935858
5195.94,0.010745132486347,2160.42447425372,-323.028145416588,113.354757833196,7.23622305530093,6.13553335614259
5197.054,0.012939309492931,2525.10701083047,-296.591242845389,90.8813969906299,-5.92475658432373,20.4146062129702
5198.169,0.010700149234047,2261.2014333001,-324.160761548356,101.831717105521,-9.76379029582564,17.7937395946741
5199.284,0.013325033956686,3150.3413203588,-284.791212028889,62.2608466581617,-1.49760735008069,31.8324743865941
5200.398,0.013181873209293,2858.91135152423,-289.685802957155,76.8895249841917,-10.702150553583,19.6773654507723
5201.513,0.013830318402975,2172.78527221858,-300.550414660153,106.192654713149,-24.7862160945592,12.2829291072448
5202.627,0.010583057559788,1728.79621836995,-338.5525385254,128.875695692752,-14.6491330772638,4.37872997583607
5203.742,0.011564781278996,1586.38047222159,-340.247075942223,137.273297115624,-10.4487329896664,3.08395426821083
5204.856,0.008703047018197,1564.29647728809,-387.884101273241,136.478070523769,-10.398253747983,-8.89022470034192
5205.971,0.007716138749834,1885.45147575902,-387.732281004493,113.551483704457,-13.9944704722087,-6.66071776811011
5207.085,0.006323054881163,1967.35832131689,-394.940754221358,112.234786025533,-6.94615024780514,-1.87610871253091
5208.2,0.011408578210948,1968.0171314838,-398.976097950561,116.513251039319,24.2974633616826,7.67789187187239
5209.315,0.064719456075607,1119.97456272193,-226.424552798921,163.223655584494,-0.65808870264211,28.3587508966441
5210.429,0.07944133667703,2388.49514186174,-97.2599190776939,97.1533862450024,-10.104788000862,15.4577206534439
5211.544,0.170000179580186,3054.23513601032,-20.2872861571077,67.5374105833688,-3.63226591094975,20.1549313949677
5212.658,0.104592758682437,2269.77396748377,-100.870523703397,94.8393533365605,-10.2234036857434,15.6832592028958
5213.773,0.113176869312299,2226.73371332064,-91.3656374197092,94.667972251491,-3.34958411111974,18.2202619132209
5214.887,0.125928649612904,2678.11703391912,-69.5368332578738,75.1922657693944,-15.255621264192,8.64770749527943
5216.002,0.120801251318232,3176.38779658153,-43.7339754707854,65.2125204212708,-7.78198088706042,1.65690445363151
5217.116,0.135918921888414,2631.39623392238,-37.9198258669741,81.5691979557836,-5.32406552337463,19.729017608651
5218.231,0.145241286877176,2650.79018230005,-59.4391135045322,79.791094947747,-21.179304962507,13.0387330545214
5219.345,0.03680153902566,1896.61070034097,-236.360461472675,115.121129393682,-2.93543733678555,6.71691957695233
5220.46,0.034345774605236,2390.76602630372,-238.749851707421,98.5046068349232,-12.9413074052342,-7.21367609231519
5221.575,0.041943333295139,2679.58314663723,-177.851149099295,80.7943581933102,-24.4226038414476,2.85279760199189
5222.689,0.027287865699568,2912.55491913953,-207.504469971076,67.529565300808,-22.7253771103853,15.035709587425
5223.804,0.035731667907259,2133.10755364557,-275.542890853589,100.873393597713,3.35865297263357,18.8142166914124
5224.918,0.047321356679488,2728.77924734965,-221.876478560436,76.2443906311608,-11.5926249303713,18.9916256568181
5226.033,0.039245512663282,2469.48825083357,-262.08275569975,81.5069578813595,14.0574835745478,31.1629958629735
5227.147,0.037615982274208,2219.17193571904,-272.562870145681,99.4654865400333,-0.656257497145129,23.5316098595498
5228.262,0.050905234739511,2822.83328249053,-194.778100555147,75.3560041906406,-10.9084778608501,32.3827688318531
5229.376,0.044628995865194,2566.20809628934,-209.394935402034,82.4077044472442,-17.3416292360877,33.979721815503
5230.491,0.048068467093908,2806.82253793405,-178.88389114564,69.676040611796,-18.4154858584528,31.7125742647274
5231.606,0.036034844553995,2245.1072704689,-207.042303990722,106.004504075205,-13.0910903991674,7.97064683190171
5232.72,0.04441709016982,1711.17838605019,-214.870351573567,132.186925971519,-27.2941643774678,5.76066654336517
5233.835,0.087511223008615,1509.54866241866,-140.288198951568,138.291118735911,-11.4614519063318,22.2864354622535
5234.949,0.100363976542499,1852.82722419827,-100.392435207094,121.074301903129,-20.1553841058492,15.1782597980358
5236.064,0.111030287353897,1590.58319454923,-108.088143470401,132.427561541221,-18.9088703129943,19.9915044051067
5237.178,0.078689977074479,1643.05344682014,-129.17413260506,131.447549996364,-10.9191432810167,19.4903467735427
5238.293,0.086512800888603,2071.74221942555,-95.9397710407934,110.443261568922,-10.3998080982167,21.8210080707994
5239.407,0.054855298682054,1820.99505711065,-199.46912752398,132.044593374549,-6.66247473726337,30.2971047128537
5240.522,0.028283634642815,1434.92965195767,-285.788409084052,147.769939128574,18.0221028024223,15.477931125333
5241.636,0.033622581185233,1836.58792049815,-249.138488431468,122.444094645345,15.0995260420104,21.0572361974981
5242.751,0.023344442499139,1633.64994750467,-316.587281037536,128.230353106821,20.7044067469398,24.6230974975411
5243.866,0.050346587334094,1600.97228658602,-242.956031226316,130.062271615695,8.30392960137663,18.7817990443289
5244.98,0.037460843288097,1759.5419046493,-259.913819621934,118.972050783666,6.04755189339119,21.0775345673497
5246.095,0.044177438706755,1811.2853145316,-208.109790536056,119.950984777386,-14.5603956534727,27.7045460577285
5247.209,0.040544711924699,2395.09519828652,-215.889800287482,93.0465767467343,-11.6283984096223,41.2007199762919
5248.324,0.045212890593713,2566.228548869,-229.25691998148,92.4584365166809,16.2176501048204,27.9849046919133
5249.438,0.047343737628941,1954.10474154208,-220.104689592751,118.918141980552,-14.5019027364049,25.4214167395884
5250.553,0.03781878590077,2041.43581148251,-245.436017805875,109.280640739066,-22.6909348584788,39.9546948937993
5251.667,0.040415781165041,2498.08750206458,-249.405669951476,79.4312553003178,-18.7715228053582,65.7739890702607
5252.782,0.03999534457184,1737.13744792892,-229.184725648064,133.299448216013,-15.9385456500289,15.1927526816563
5253.897,0.052479664245767,2642.45879399652,-169.03831829199,94.3517621089432,-24.5644872477767,23.5886267304347
5255.011,0.037599316701495,1407.30578879259,-256.72636512155,146.215464300844,-15.5898504269095,15.3418697038743
5256.126,0.039988451303472,2269.59932594393,-224.07224959586,109.656899552714,-6.21303755287688,21.0237058912392
5257.24,0.040722939759038,2592.84625698553,-212.197769438661,93.6699346671274,0.88320081159797,16.9175507275811
